file_id	case_no	sido	sigungu	umd	jimok	land_use	use_situation	road	shape	slope	area_m2	official_price	std_price	std_road	std_shape	f_time	f_region	f_indiv	f_other	unit_calc	unit_decided	total_krw	ratio_official	method_decided	sale_case_unit	sale_case_indiv	sale_case_unit_decided	base_date	purpose	readable	notes
1jVtVb5w42YbPqDyKCm4u_5UPR0wIGGfM	2025-08408-001	경기	이천시	부발읍 신하리	전	자연녹지	묵전	맹지	부정형	평지	436	217900	239500	세로(가)	부정형	1.01297	1.00	0.745	2.05	370520	371000	161756000	1.7027	공시지가기준법	665116	0.577	386000	2025-08-15	공매	text	개별요인=접근0.80×자연1.00×획지0.98×행정0.95(표준지 자연취락지구)×기타1.00; 그밖의요인 격차율 2.055(평가사례ⓐ 483,000 기준); 표준지 신하리 ○
1ldPLD8tXkjGYg8YW7eeouW2O7GEvtJI5	2026-0700-041322	경기	광명시	철산동	대																								공매	image	글자층 없음(이미지 PDF) — 도시 대지(광명 철산동) 표본으로 귀중, OCR 필요
1hpYDuhJoqlbtu4kCgqW6LOvi3Sw24uGp	2026-0900-047471	강원	춘천시	남면 가정리	전	생산관리	전	소로한면	부정형	평지	1203	84400	59500	맹지	부정형	1.00738	1.00	1.224	1.28	93908	94000	113082000	1.1137	공시지가기준법	73839	1.260	96000	2026-08-21	시유재산매각	ocr	개별=가로1.20×접근1.00×환경1.00×획지1.02×행정1.00×기타1.00; 그밖 격차1.281(평가사례 90,500 매각 2021); 통일감정평가법인
1lx1fdAj0zOvjd9PkyuD0DUiRi2hNCcrc	2024-18725-002	경기	가평군	가평읍 승안리	전	자연환경보전	임야	맹지	부정형	완경사	2112		15200	맹지	사다리	1.00096	1.000	1.000	1.30	19778	20000	42240000		공시지가기준법	19469	1.000	20000	2026-05-28	공매	text	두 필지(○ 1,041 + ○ 1,071) 합산; 대상 개별공시지가 미기재; 개별요인 전부 1.00; 그밖 격차1.30(실거래 19,469 2022); 고려감정평가사사무소
1YzDpmlyLDYZ4s79GHAuz3tldI3Ecl8oe	2024-10648-001	경기	양평군	강하면 동오리	대	보전관리	단독주택	세로(가)	사다리	완경사	368	162700	187800	세로(가)	사다리	1.00101	1.00	0.990	1.77	329414	329000	53547000	2.0221	공시지가기준법	332435	1.000	336000	2026-03-01	공매	text	지분 162.7581㎡만 평가; 개별=접근0.99 나머지1.00; 그밖 격차1.772; 준보전산지; 필감정평가사사무소
1Wkuov__7ePYqLoOvZAVWGnpf194fUi5V	2022-04625-004	경기	용인시 처인구	양지읍 대대리	임야	보전녹지	자연림	세로(가)	부정형	급경사	11361	6950	6910	맹지	부정형	1.01097	1.000	0.825	3.36	19364	19000	215859000	2.7338	공시지가기준법	26000	0.715	19000	2026-04-30	공매	text	개별=가로1.10×획지0.75; 그밖 격차3.364(평가사례 38,000 공매 2025); 보전산지(공익용·임업용); 자연녹지 일부 미미; 구구감정평가사사무소
1Xf1h7-j40r5t1vxtLlf6WFKlz9-0M6r3	2024-11650-010	경기	화성시	송산면 독지리	임야	보전관리	자연림	세로(가)	자루형	완경사	2545	48100	45900	맹지	사다리	1.00873	1.000	1.099	3.64	185219	185000	141340000	3.8462	공시지가기준법	129000	1.450	188000	2026-05-21	공매	text	지분 764/2545 평가; 개별=가로1.10×획지0.97; 그밖 격차3.648(평가사례 175,000 담보 2024); 인근 지가수준 150,000~200,000(맹지 보전관리 임야); 문감정평가사사무소
1jwboBaac_hPtAGM0XpAZyAHqRf4uSHnn	2026-01542-004	경기	용인시 처인구	운학동	전	자연녹지	전	소로한면	부정형	평지	1069	342000	380300	소로각지	부정형	1.00836	1.000	0.950	2.18	794186	794000	848786000	2.3216	공시지가기준법	454148	1.696	835000	2026-04-01	공매	text	5필지 중 주필지(○); 개별=획지0.95(각지 열세); 그밖 격차2.189(평가사례 440,000 법원경매 2023); 다른 필지: ○ 대20㎡ 자연취락 세로(불) 개별376,000→758,000(2.02) / ○ 전68㎡ 자연취락 개별340,900→834,000(2.45) / ○ 전437㎡ 현황도로 개별104,800→290,000(2.77, 기타조건0.33) / ○ 대23㎡ 도로저촉 개별149,500→771,000(5.16); 굿모닝감정평가법인
14aal-gwXGUzM24eVZu0eLSxgYVX2m1FX	2022-07118-008	경기	여주시	북내면 신남리	임야	계획관리	자연림	세로(가)	부정형	완경사	354	36100	31700	맹지	정방형	1.00471	1.000	1.260	2.46	98720	99000	23859000	2.7424	공시지가기준법	115000	1.000	119000	2026-05-07	공매	text	4필지 중 파일명 필지(○, 지분 241/354); 개별=가로1.20×접근1.05; 그밖 격차2.469(평가사례 85,000 일반거래 2024); 다른 필지: ○ 595㎡ 소로한면 개별39,300→103,000(2.62) / ○ 892㎡ 소로한면 개별39,300→103,000(2.62) / ○ 892㎡ 소로각지 개별41,500→102,000(2.46, 기타0.95 일부도로); 준보전산지; 어반감정평가사사무소
1PPhdUZtct4zLr6Kupx1KaUxc4GnLBCaZ	2025-02116-003	경기	연천군	신서면 마전리	임야	농림+보전관리	자연림	세로(가)	사다리	급경사	34612	1770	1550	세로(불)		1.00291	1.000	1.020	4.12	6532	6500	63166900	4.1243	공시지가기준법	4895	1.200	5900	2026-05-15	공매	ocr	민통선; 지분 3/12=8,653㎡; 용도지역 둘로 나눠 면적가중(농림 28,794㎡ 6,500 + 보전관리 5,818㎡ 11,000 → 7,300); 보전관리부분 표준지B 3,480 개별0.840(획지0.70) 그밖3.63; 개별(농림)=가로1.20×획지0.85; 그밖 격차4.127(평가사례 6,100 법원경매 2026); 임업용산지·준보전산지·제한보호구역; 인근 지가수준 6,000~12,000; 명품감정평가사사무소
