sgg_cd	sgg_nm	year	land_use	item	std	target	ratio
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	전	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	답	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	과	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	목	0.96
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	임	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	대	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	장	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	차	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	주	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	창	1.1
41461	용인시 처인구 원삼면	2026	주거지역	지목	전	잡	1.1
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	전	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	답	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	과	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	목	0.96
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	임	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	대	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	장	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	차	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	주	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	창	1.1
41461	용인시 처인구 원삼면	2026	주거지역	지목	답	잡	1.1
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	전	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	답	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	과	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	목	0.96
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	임	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	대	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	장	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	차	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	주	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	창	1.1
41461	용인시 처인구 원삼면	2026	주거지역	지목	과	잡	1.1
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	전	1.04
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	답	1.04
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	과	1.04
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	목	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	임	0.98
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	대	1.22
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	장	1.22
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	차	1.22
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	주	1.22
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	창	1.15
41461	용인시 처인구 원삼면	2026	주거지역	지목	목	잡	1.15
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	전	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	답	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	과	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	목	1.02
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	임	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	대	1.24
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	장	1.24
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	차	1.24
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	주	1.24
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	창	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	임	잡	1.17
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	전	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	답	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	과	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	목	0.82
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	임	0.8
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	대	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	장	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	차	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	주	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	창	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	대	잡	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	전	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	답	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	과	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	목	0.82
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	임	0.8
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	대	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	장	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	차	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	주	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	창	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	장	잡	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	전	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	답	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	과	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	목	0.82
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	임	0.8
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	대	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	장	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	차	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	주	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	창	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	차	잡	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	전	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	답	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	과	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	목	0.82
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	임	0.8
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	대	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	장	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	차	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	주	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	창	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	주	잡	0.94
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	전	0.91
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	답	0.91
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	과	0.91
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	목	0.87
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	임	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	대	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	장	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	차	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	주	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	창	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	창	잡	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	전	0.91
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	답	0.91
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	과	0.91
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	목	0.87
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	임	0.85
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	대	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	장	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	차	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	주	1.06
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	창	1
41461	용인시 처인구 원삼면	2026	주거지역	지목	잡	잡	1
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	3300	3300	1
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	3300	16500	0.98
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	3300	33000	0.97
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	3300	66000	0.96
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	3300	그이상	0.95
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	16500	3300	1.02
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	16500	16500	1
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	16500	33000	0.99
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	16500	66000	0.98
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	16500	그이상	0.97
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	33000	3300	1.03
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	33000	16500	1.01
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	33000	33000	1
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	33000	66000	0.99
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	33000	그이상	0.98
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	66000	3300	1.04
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	66000	16500	1.02
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	66000	33000	1.01
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	66000	66000	1
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	66000	그이상	0.99
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	그이상	3300	1.05
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	그이상	16500	1.03
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	그이상	33000	1.02
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	그이상	66000	1.01
41461	용인시 처인구 원삼면	2026	주거지역	토지면적	그이상	그이상	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	일반	일반	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	일반	역사보호	0.92
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	일반	경관	0.92
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	일반	공항보호	0.86
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	일반	고도	0.97
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	역사보호	일반	1.09
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	역사보호	역사보호	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	역사보호	경관	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	역사보호	공항보호	0.93
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	역사보호	고도	1.05
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	경관	일반	1.09
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	경관	역사보호	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	경관	경관	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	경관	공항보호	0.93
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	경관	고도	1.05
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	공항보호	일반	1.16
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	공항보호	역사보호	1.07
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	공항보호	경관	1.07
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	공항보호	공항보호	1
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	공항보호	고도	1.13
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	고도	일반	1.03
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	고도	역사보호	0.95
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	고도	경관	0.95
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	고도	공항보호	0.89
41461	용인시 처인구 원삼면	2026	주거지역	용도지구	고도	고도	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	일반	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	지상도로	0.85
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	지하도로	0.95
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	공원	0.6
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	운동장	0.85
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	혐오	0.85
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	위험	0.85
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	일반	도축장	0.85
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	일반	1.18
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	지상도로	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	지하도로	1.12
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	공원	0.71
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	운동장	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	혐오	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	위험	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지상도로	도축장	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지하도로	일반	1.05
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지하도로	지상도로	0.89
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지하도로	지하도로	1
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지하도로	공원	0.63
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지하도로	운동장	0.89
41461	용인시 처인구 원삼면	2026	주거지역	도시계획시설	지하도로	혐오	0.89
