org,name,mst,effective,source,n,file,건폐율_보전관리,용적률_보전관리,건폐율_생산관리,용적률_생산관리,건폐율_계획관리,용적률_계획관리,건폐율_보전녹지,용적률_보전녹지,건폐율_생산녹지,용적률_생산녹지,건폐율_자연녹지,용적률_자연녹지,건폐율_농림,용적률_농림,건폐율_자연환경보전,용적률_자연환경보전,경사도_도,표고_m,입목축적_pct
강원특별자치도,강원특별자치도 도시계획 조례,2143463,20260703,web-html,4,강원특별자치도_강원특별자치도_도시계획_조례.json,,,,,,,,,,,,,,,,,,,
강원특별자치도 강릉시,강릉시 도시계획 조례,2102673,20251231,web-html,40,강원특별자치도_강릉시_강릉시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
강원특별자치도 고성군,고성군 군계획 조례,2136061,20260629,web-html,29,강원특별자치도_고성군_고성군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
강원특별자치도 동해시,동해시 도시계획 조례,2091767,20251212,web-html,26,강원특별자치도_동해시_동해시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,
강원특별자치도 삼척시,삼척시 도시계획 조례,2165579,20260901,web-html,15,강원특별자치도_삼척시_삼척시_도시계획_조례.json,20,80,20,80,40,50,20,80,20,100,20,100,20,30,20,80,20,,150
강원특별자치도 속초시,속초시 도시계획 조례,2121085,20260410,web-html,12,강원특별자치도_속초시_속초시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,30,,150
강원특별자치도 양구군,양구군 도시계획조례,2094605,20251219,web-html,26,강원특별자치도_양구군_양구군_도시계획조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
강원특별자치도 양양군,양양군 군계획 조례,2102945,20251231,web-html,30,강원특별자치도_양양군_양양군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,,,
강원특별자치도 영월군,영월군 군계획 조례,2109147,20260206,web-html,29,강원특별자치도_영월군_영월군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
강원특별자치도 원주시,원주시 도시계획 조례,2106795,20251231,web-html,39,강원특별자치도_원주시_원주시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,17,,130
강원특별자치도 인제군,인제군 군계획 조례,2099217,20251229,web-html,25,강원특별자치도_인제군_인제군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,150
강원특별자치도 정선군,정선군 군계획 조례,2029433,20250415,web-html,19,강원특별자치도_정선군_정선군_군계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,20,,150
강원특별자치도 철원군,철원군 도시계획조례,2165573,20260828,web-html,24,강원특별자치도_철원군_철원군_도시계획조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,50,150
강원특별자치도 춘천시,춘천시 도시계획 조례,2160495,20260813,web-html,30,강원특별자치도_춘천시_춘천시_도시계획_조례.json,20,80,20,80,40,100,20,80,20,100,20,100,20,80,20,80,25,,130
