역명,위도,경도,주소,역등급,정차횟수,본부,출입구 개수,관련노선
가남,37.197808,127.535789,,,,대전충청,2.0,
각계,36.20836,127.7255,,,,대전충청,1.0,
감곡장호원,37.0727,127.3803,,,,대전충청,2.0,
강경,36.15508431,127.0165024,,,,대전충청,1.0,
강경역,36.153333,127.015237,충청남도 논산시 강경읍 대흥로 1 ,2.0,50.0,,,"호남선,전라선"
강구,36.352655,129.372288,,,,대구경북,1.0,
강구역,0.0,0.0,경상북도 영덕군 강구면 강산로 67,0.0,,,,동해선
강릉,37.7645622,128.8994852,,,,강원본부,3.0,
강릉역,37.763401,128.898856,강원도 강릉시 용지로 176 ,2.0,28.0,,,"강릉선(고속),동해-강릉 셔틀"
개포,36.7150967,128.5060464,,,,대구경북,1.0,
개포역,36.627125,128.328868,경상북도 예천군 개포면 방터길 7-11,3.0,2.0,,,경북선
건천역,35.850289,129.102206,경상북도 경주시 건천읍 내서로 1038-18,3.0,4.0,,,대구선
경산,35.819351,128.727683,,,,대구경북,1.0,
경산역,35.819999,128.727745,경상북도 경산시 중앙로 1,3.0,80.0,,,"경부선(고속),경전선(고속),경부선,경전선"
경주역,35.84509,129.217778,경상북도 경주시 원화로 266,1.0,32.0,,,"중앙선,대구선,동해남부선"
계룡,36.272964,127.265421,,,,대전충청,1.0,
계룡역,36.272439,127.265714,충청남도 계룡시 두마면 팥거리로 95,3.0,65.0,,,"호남선(고속),전라선(고속),호남선,전라선"
고한,37.200866,128.85298,,,,대전충청,1.0,
고한역,37.199561,128.853005,강원도 정선군 고한읍 고한로166,3.0,14.0,,,태백선
곡성,35.28,127.3,,,,광주전남,1.0,
곡성역,35.283436,127.303795,전라남도 곡성군 곡성읍 곡성로 920 ,3.0,34.0,,,"전라선(고속),전라선"
공주,36.332361,127.096778,,,,대전충청,2.0,
공주역,36.3325,127.0968,충청남도 공주시 이인면 새빛로 100 ,1.0,,,,"호남선(고속),전라선(고속)"
광명,37.416196,126.884818,,,,수도권광역,8.0,
광명역,37.420592,126.881594,경기도 광명시 광명역로 21,1.0,125.0,,,"경부선(고속),경전선(고속),동해선(고속),호남선(고속),전라선(고속)"
광양,34.96,127.59,,,,광주전남,1.0,
광양역,34.9678528,127.5890069,전라남도 광양시 광양읍 해광로 800,3.0,12.0,,,경전선
광주,35.17,126.91,,,,광주전남,1.0,
광주송정,35.14,126.79,,,,광주전남,3.0,
광주송정역,35.137783,126.791767,광주광역시 광산구 상무대로 201,1.0,48.0,,,"호남선(고속),호남선,경전선,광주-광주송정 셔틀"
광주역,35.166544,126.909419,광주광역시 북구 무등로 235,1.0,40.0,,,"호남선,광주-광주송정 셔틀"
광천,36.50155278,126.6223306,,,,대전충청,1.0,
광천역,36.502653,126.622567,충청남도 홍성군 광천읍 광천로273번길 85,3.0,32.0,,,장항선
구례구,35.0,127.0,,,,광주전남,1.0,
구례구역,35.163483,127.452645,전라남도 순천시 황전면 섬진강로 217 ,3.0,34.0,,,"전라선(고속),전라선"
구미,36.1284582,128.3307228,,,,대구경북,2.0,
구미역,36.129274,128.330932,경상북도 구미시 구미중앙로 76,2.0,98.0,,,경부선
구포,35.2054413,128.9971076,,,,부산경남,2.0,
구포역,35.205531,128.997341,부산광역시 북구 구포만세길 82,2.0,115.0,,,"경부선(고속),경부선,경전선"
군북,35.25,128.35,,,,부산경남,3.0,
군북역,35.260219,128.347453,경상남도 함안군 군북면 의산삼일로 1992,3.0,12.0,,,경전선
군산,35.9992489,126.7597783,,,,전북,1.0,
군산역,36.00184,126.758747,전라북도 군산시 내흥2길 197,2.0,32.0,,,장항선
극락강,35.18,126.83,,,,광주전남,1.0,
극락강역,35.176,126.830705,광주광역시 광산구 목련로310-23,3.0,12.0,,,"호남선,광주-광주송정 셔틀"
기장역,35.240989,129.218172,부산광역시 기장군 기장읍 차성로288번길 86,3.0,36.0,,,"중앙선,동해남부선"
김제,35.792564,126.90313,,,,전북,1.0,
김제역,35.793266,126.903852,전라북도 김제시 두월로 198번지,2.0,49.0,,,"호남선(고속),호남선"
김천,36.12,128.11,,,,대구경북,2.0,
김천(구미),36.113482,128.180991,경상북도 김천시 남면 혁신1로 51,0.0,41.0,대구경북,2.0,"경부선(고속),경전선(고속),동해선(고속)"
김천역,36.123719,128.114323,경상북도 김천시 김천로 111 ,1.0,98.0,,,"경부선,경북선"
나전,37.4486949,128.6662749,,,,대전충청,1.0,
나주,35.01,126.18,,,,광주전남,1.0,
나주역,35.013988,126.717214,전라남도 나주시 나주역길 56,2.0,36.0,,,"호남선(고속),호남선"
남성현,35.704648,128.716315,,,,대구경북,1.0,
남성현역,35.706107,128.718557,경상북도 청도군 화양읍 다로길 39 ,3.0,4.0,,,"경부선,경전선"
남원,35.411284,127.361398,,,,전북,1.0,
남원역,35.410791,127.360528,전라북도 남원시 교룡로 71,2.0,34.0,,,"전라선(고속),전라선"
남창역,35.417332,129.283655,울산광역시 울주군 온양읍 남창역길 40 ,3.0,25.0,,,"중앙선,동해남부선"
논산,36.20714967,127.0923195,,,,대전충청,1.0,
논산역,36.207051,127.09203,충청남도 논산시 해월로 236-12,2.0,86.0,,,"호남선(고속),전라선(고속),호남선,전라선"
능주,34.99,126.96,,,,광주전남,1.0,
능주역,34.986037,126.964298,전라남도 화순군 능주면 학포로 1896-10 ,3.0,10.0,,,경전선
다시,35.02,126.64,,,,광주전남,1.0,
다시역,35.016545,126.639671,전라남도 나주시 다시면 다시로 218 ,3.0,13.0,,,호남선
단양,36.973258,128.343474,,,,대전충청,1.0,
