연번,기관,호선,구간,역개수,연장(km),개통일자
1,서울교통공사,1,서울↔청량리,9.0,7.8,1974-08-15
2,서울교통공사,1,동묘앞,1.0,,2005-12-21
3,서울교통공사,2,신설동(2)↔종합운동장,11.0,14.3,1980-10-31
4,서울교통공사,2,종합운동장↔교대(2),5.0,5.5,1982-12-23
5,서울교통공사,2,을지입구↔성수,9.0,7.9,1983-09-16
6,서울교통공사,2,교대(2)↔서울대입구,5.0,6.7,1983-12-17
7,서울교통공사,2,서울대입구↔을지입구,16.0,19.8,1984-05-22
8,서울교통공사,2,신도림↔양천구청,2.0,2.7,1992-05-22
9,서울교통공사,2,양천구청↔신정네거리,1.0,1.9,1996-02-29
10,서울교통공사,2,신정네거리↔까치산,,1.4,1996-03-20
11,서울교통공사,2,용두,1.0,,2005-10-20
12,서울교통공사,3,구파발↔독립문,7.0,8.0,1985-07-12
13,서울교통공사,3,독립문↔양재,16.0,18.2,1985-10-18
14,서울교통공사,3,지축↔구파발,1.0,1.5,1990-07-13
15,서울교통공사,3,양재↔수서,7.0,7.5,1993-10-30
16,서울교통공사,3,수서↔오금,3.0,3.0,2010-02-18
17,서울교통공사,4,상계↔한성대입구,10.0,11.8,1985-04-20
18,서울교통공사,4,한성대입구↔사당,14.0,16.5,1985-10-18
19,서울교통공사,4,당고개↔상계,1.0,1.2,1993-04-21
20,서울교통공사,4,사당↔남태령(시계),1.0,2.2,1994-04-01
21,서울교통공사,5,왕십리↔상일동,14.0,14.4,1995-11-15
22,서울교통공사,5,방화↔까치산,9.0,8.9,1996-03-20
23,서울교통공사,5,강동↔마천,7.0,7.1,1996-03-30
24,서울교통공사,5,까치산↔여의도,8.0,7.9,1996-08-12
25,서울교통공사,5,여의도↔왕십리,13.0,14.0,1996-12-30
26,서울교통공사,5,미사↔하남풍산,2.0,4.6,2020-08-08
27,서울교통공사,5,강일↔하남검단산,3.0,2.9,2021-03-27
28,서울교통공사,6,봉화산↔상월곡,6.0,4.2,2000-08-07
29,서울교통공사,6,응암↔상월곡,28.0,30.9,2000-12-15
30,서울교통공사,6,이태원↔약수,4.0,,2001-03-09
31,서울교통공사,6,봉화산↔신내,1.0,1.3,2019-12-21
32,서울교통공사,7,장암↔건대입구,19.0,19.0,1996-10-11
33,서울교통공사,7,온수↔신풍,8.0,9.2,2000-02-29
34,서울교통공사,7,건대입구↔신풍,15.0,18.7,2000-08-01
35,서울교통공사,8,잠실↔모란,13.0,13.1,1996-11-23
36,서울교통공사,8,암사↔잠실,4.0,4.6,1999-07-02
37,서울교통공사,8,남위례,1.0,,2021-12-18
38,서울교통공사,8,암사↔암사역사공원,1.0,1.1,2024-08-10
