유형,시도,시군,단지명,조성상태,지정면적(천제곱미터),관리면적(천제곱미터),산업시설구역_전체면적(천제곱미터),산업시설구역_분양대상(천제곱미터),산업시설구역_분양(천제곱미터),산업시설구역_미분양(천제곱미터),산업시설구역_분양률(퍼센트),입주업체(개),가동업체(개)
국가,서울,구로구,한국수출산업,완료,1922,1920,1426,1426,1426,0,100,15250,13970
일반,서울,구로구,서울온수,완료,158,158,123,123,123,0,100,199,199
국가,부산,강서구,명지·녹산,완료,8841,8814,4309,4309,4309,0,100,1575,1289
일반,부산,강서구,부산과학,완료,1967,1967,1030,1030,1010,20,98,239,239
일반,부산,사하구,서부산스마트밸리(구:신평장림),완료,3700,2815,1749,1749,1749,0,100,1007,779
일반,부산,해운대구,센텀시티,완료,1178,1178,210,210,210,0,100,2635,2635
일반,부산,사상구,사상공업지역[재생사업지구],조성중,3021,3021,1005,1005,1005,0,100,957,957
일반,부산,기장군,정관,완료,1209,1209,479,479,479,0,100,205,205
일반,부산,강서구,신호,완료,3121,3121,1713,1713,1713,0,100,82,82
농공,부산,기장군,정관,완료,258,258,189,189,189,0,100,34,33
일반,대구,달서구,성서1차[재생사업지구],완료,2687,2687,1886,1886,1886,0,100,991,984
일반,대구,달서구,성서2차[재생사업지구:부분],완료,4701,4701,2996,2996,2996,0,100,1218,1214
일반,대구,달서구,성서3차,완료,3329,2895,1577,1577,1577,0,100,818,813
일반,대구,달서구,성서4차,완료,432,432,231,231,231,0,100,69,69
일반,대구,북구,검단,완료,782,782,570,570,570,0,100,586,583
일반,대구,서구,대구염색[재생사업지구],완료,849,849,589,589,589,0,100,127,123
일반,대구,달성군,달성1차,완료,4078,4078,2551,2551,2551,0,100,306,278
일반,대구,달성군,달성2차,완료,2705,2377,1482,1482,1482,0,100,307,283
일반,대구,북구,대구제3[재생사업지구],완료,1685,1684,1284,1284,1284,0,100,2529,2529
일반,대구,서구,서대구[재생사업지구],완료,2662,2661,1285,1285,1285,0,100,2562,2497
농공,대구,달성군,구지,완료,193,193,160,160,160,0,100,22,22
농공,대구,달성군,옥포,완료,162,162,130,130,130,0,100,49,49
농공,대구,군위군,군위,완료,301,301,222,222,222,0,100,31,28
농공,대구,군위군,효령,완료,112,112,99,99,99,0,100,14,12
국가,인천,남동구,남동[재생사업지구],완료,9504,9572,5849,5849,5849,0,100,8106,7822
국가,인천,부평구,한국수출산업,완료,1786,1785,1452,1452,1452,0,100,3340,3331
일반,인천,미추홀구,인천기계,완료,350,350,291,291,291,0,100,179,177
일반,인천,미추홀구,인천,완료,1136,1136,1001,1001,1001,0,100,608,606
일반,인천,서구,인천서부,완료,939,938,770,770,770,0,100,316,309
일반,인천,서구,청라1지구,완료,194,194,129,129,129,0,100,35,35
일반,인천,연수구,송도지식정보,완료,2402,2400,657,657,614,43,93,137,89
일반,인천,강화군,강화하점,완료,59,59,43,43,43,0,100,11,10
국가,광주,북구,광주첨단과학,완료,9991,3645,2643,2643,2643,0,100,2514,2101
일반,광주,광산구,평동,완료,5049,5047,3372,3372,3372,0,100,703,702
일반,광주,광산구,소촌,완료,190,189,106,106,106,0,100,64,64
일반,광주,남구,송암,완료,415,414,304,304,304,0,100,64,64
일반,광주,북구,본촌,완료,877,878,766,766,766,0,100,146,135
일반,광주,광산구,하남[재생사업지구:부분],완료,5922,5920,4451,4451,4451,0,100,1087,1087
농공,광주,광산구,소촌,완료,324,324,262,262,262,0,100,80,80
국가,대전,유성구,대덕연구개발특구,조성중,49714,49714,23762,20478,20478,0,100,1786,1768
일반,대전,대덕구,대전산업단지[재생사업지구],완료,2317,2317,1643,1643,1643,0,100,1083,886
국가,울산,남구,울산ㆍ미포,조성중,48468,45619,35256,35076,35076,0,100,1115,741
국가,울산,울주군,온산,조성중,25939,20513,16891,16608,16608,0,100,409,258
일반,울산,북구,매곡,완료,565,565,321,321,312,9,97,58,58
농공,울산,북구,달천,완료,260,260,194,194,194,0,100,102,95
농공,울산,울주군,두동,완료,70,70,55,55,55,0,100,4,4
농공,울산,울주군,두서,완료,123,123,101,101,101,0,100,15,14
농공,울산,울주군,상북,완료,138,138,107,107,107,0,100,11,11
일반,세종,세종,소정,완료,272,272,193,193,193,0,100,1,1
일반,세종,세종,월산,완료,1380,1380,955,955,955,0,100,0,0
일반,세종,세종,전의,완료,481,481,345,345,345,0,100,8,8
일반,세종,세종,조치원,완료,940,940,759,759,759,0,100,12,11
일반,세종,세종,부강(구 부용),완료,562,562,398,398,398,0,100,11,11
