유형 ,시도 ,시군 ,단지명 ,조성상태 ,지정면적(천제곱미터),관리면적(천제곱미터),산업시설구역_전체면적(천제곱미터),산업시설구역_분양대상(천제곱미터),산업시설구역_분양(천제곱미터),산업시설구역_미분양(천제곱미터),산업시설구역_분양률(퍼센트),입주업체(개),가동업체(개)
일반,서울,구로구,서울온수,완료,158 ,158 ,123 ,123 ,123 ,0 ,100 ,199 ,199 
일반,서울,강서구,마곡,조성중,1124 ,1124 ,729 ,729 ,603 ,126 ,83 ,199 ,149 
일반,서울,강동구,강동,조성중,78 ,78 ,27 ,0 ,0 ,0 ,0 ,0 ,0 
일반,부산,강서구,부산과학 (① + ②),완료,1967 ,1967 ,1030 ,1030 ,1010 ,20 ,98 ,239 ,239 
일반,부산,강서구,   부산과학 ①,완료,1669 ,1669 ,732 ,732 ,732 ,0 ,100 ,227 ,227 
일반,부산,강서구,   지사(외국인) ②,완료,298 ,298 ,298 ,298 ,278 ,20 ,93 ,12 ,12 
일반,부산,강서구,부산신항배후국제산업물류도시(1단계),완료,5708 ,5708 ,3186 ,3186 ,2982 ,204 ,94 ,545 ,536 
일반,부산,기장군,명례,완료,1566 ,1566 ,869 ,869 ,869 ,0 ,100 ,128 ,125 
일반,부산,사하구,산양,조성중,52 ,52 ,24 ,19 ,19 ,0 ,100 ,0 ,0 
일반,부산,사하구,서부산스마트밸리(구:신평장림) (① + ②),완료,3700 ,2815 ,1749 ,1749 ,1749 ,0 ,100 ,1007 ,779 
일반,부산,사하구,   신평ㆍ장림(기존) ①,완료,885 ,885 ,604 ,604 ,604 ,0 ,100 ,461 ,299 
일반,부산,사하구,   신평ㆍ장림(협동화) ②,완료,2815 ,1930 ,1145 ,1145 ,1145 ,0 ,100 ,546 ,480 
일반,부산,해운대구,센텀시티,완료,1178 ,1178 ,210 ,210 ,210 ,0 ,100 ,2635 ,2635 
일반,부산,강서구,풍상,완료,61 ,61 ,52 ,52 ,52 ,0 ,100 ,4 ,4 
일반,부산,강서구,생곡,완료,538 ,538 ,333 ,333 ,333 ,0 ,100 ,104 ,99 
일반,부산,강서구,명동지구,조성중,506 ,506 ,325 ,325 ,305 ,20 ,94 ,32 ,2 
일반,부산,강서구,미음지구 (① + ②),완료,3548 ,3548 ,1926 ,1926 ,1730 ,196 ,90 ,390 ,358 
일반,부산,강서구,   미음(산업단지) ①,완료,3249 ,3249 ,1627 ,1627 ,1593 ,34 ,98 ,383 ,351 
일반,부산,강서구,   미음(외국인) ②,완료,299 ,299 ,299 ,299 ,137 ,162 ,46 ,7 ,7 
일반,부산,기장군,동남권방사선의과학,조성중,1479 ,1442 ,704 ,704 ,547 ,157 ,78 ,42 ,21 
일반,부산,기장군,부산신소재,완료,256 ,256 ,169 ,169 ,169 ,0 ,100 ,5 ,3 
일반,부산,기장군,반룡,완료,547 ,547 ,334 ,334 ,334 ,0 ,100 ,93 ,89 
일반,부산,기장군,오리,완료,608 ,538 ,393 ,393 ,332 ,61 ,84 ,79 ,66 
일반,부산,기장군,동부산E-PARK 일반산업단지(구:기장대우),조성중,344 ,344 ,248 ,166 ,166 ,0 ,100 ,3 ,0 
일반,부산,기장군,에코장안,완료,201 ,201 ,129 ,129 ,129 ,0 ,100 ,25 ,20 
일반,부산,강서구,정주,완료,97 ,97 ,40 ,40 ,40 ,0 ,100 ,3 ,3 
일반,부산,사상구,사상공업지역[재생사업지구],조성중,3021 ,3021 ,1005 ,1005 ,1005 ,0 ,100 ,957 ,957 
일반,부산,강서구,성우(구:거화),완료,64 ,63 ,33 ,33 ,33 ,0 ,100 ,18 ,18 
