산업단지,구분,음식료(개사),섬유의복(개사),목재종이(개사),석유화학(개사),비금속(개사),철강(개사),기계(개사),전기전자(개사),운송장비(개사),기타(개사),비제조(개사),총계(개사)
서울,국가,100,765,249,432,24,23,699,2647,51,297,10046,15333
녹산,국가,44,91,74,139,16,116,659,59,149,14,239,1600
대구,국가,0,0,0,6,2,2,113,46,101,0,47,317
남동,국가,254,149,310,882,64,184,3951,1389,224,316,368,8091
부평,국가,33,103,58,130,5,10,414,601,33,87,403,1877
주안,국가,47,43,45,136,3,28,404,381,28,63,306,1484
광주첨단,국가,0,1,0,42,7,5,169,538,31,0,1943,2736
빛그린,국가,0,0,1,11,0,0,39,23,26,0,67,167
온산,국가,2,1,2,135,7,30,50,11,53,5,109,405
울산ㆍ미포,국가,8,11,12,199,13,16,227,107,142,10,398,1143
반월,국가,130,436,375,772,29,216,3346,3291,315,169,427,9506
용인첨단시스템반도체,국가,0,0,0,0,0,0,0,0,0,0,0,0
시화,국가,69,179,242,747,31,653,6700,1818,405,166,338,11348
시화MTV,국가,0,1,0,42,8,241,460,467,3,0,167,1389
송산그린시티,국가,0,0,0,0,0,0,61,24,14,0,0,99
파주탄현,국가,4,2,1,15,0,1,15,8,1,0,1,48
동두천,국가,0,0,0,0,0,0,0,0,0,0,0,0
북평,국가,4,1,2,0,2,3,31,2,2,1,8,56
오송생명과학,국가,4,0,0,48,0,0,0,10,0,0,12,74
석문,국가,0,0,0,53,18,43,88,5,8,0,13,228
아산,국가,11,3,6,66,5,56,100,24,40,0,96,407
장항생태,국가,9,1,1,9,1,2,9,4,3,0,13,52
국가식품클러스터,국가,202,0,2,4,0,0,0,0,0,0,19,227
국가식품클러스터(외),국가,1,0,0,0,0,0,0,0,0,0,0,1
군산,국가,6,1,2,38,7,4,47,14,52,3,22,196
군산2,국가,13,6,35,90,20,42,238,21,83,7,51,606
익산,국가,6,38,3,21,5,0,17,35,8,116,76,325
광양,국가,0,1,1,17,29,28,40,7,4,5,68,200
대불,국가,8,4,1,18,22,8,106,8,152,2,36,365
대불(외),국가,0,0,0,1,0,0,11,0,15,0,4,31
여수,국가,3,1,5,144,10,3,75,11,0,8,64,324
구미,국가,22,135,52,274,46,45,1145,843,65,17,410,3054
구미(외),국가,0,1,0,2,1,0,8,9,3,0,0,24
포항,국가,0,0,0,15,15,36,17,4,2,0,15,104
포항블루밸리,국가,0,0,0,1,3,7,8,11,1,0,10,41
경남항공,국가,0,0,0,0,0,0,0,0,0,0,0,0
밀양나노,국가,2,0,0,6,0,0,1,1,0,1,5,16
안정,국가,0,0,0,0,0,0,3,0,7,0,2,12
진해,국가,0,0,0,0,0,0,0,0,3,0,0,3
창원,국가,7,10,50,47,5,80,1559,647,252,36,627,3320
