유형,시도,시군,단지명,조성상태,지정면적(천제곱미터),관리면적(천제곱미터),산업시설구역_전체면적(천제곱미터),산업시설구역_분양대상(천제곱미터),산업시설구역_분양(천제곱미터),산업시설구역_미분양(천제곱미터),산업시설구역_분양률(퍼센트),입주업체(개),가동업체(개)
국가,서울,구로구,한국수출산업 (①),완료,1922 ,1920 ,1426 ,1426 ,1426 ,0 ,100 ,15250 ,13970 
국가,서울,구로구,   서울디지털 ①,완료,1922 ,1920 ,1426 ,1426 ,1426 ,0 ,100 ,15250 ,13970 
국가,부산,강서구,명지·녹산 (① + ②),완료,8841 ,8814 ,4309 ,4309 ,4309 ,0 ,100 ,1575 ,1289 
국가,부산,강서구,   녹산지구(산업단지) ①,완료,6998 ,6971 ,4309 ,4309 ,4309 ,0 ,100 ,1575 ,1289 
국가,부산,강서구,   명지지구 ②,완료,1843 ,1843 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
국가,대구,달성군,대구국가,조성중,8559 ,7354 ,4910 ,4910 ,3136 ,1774 ,64 ,305 ,225 
국가,인천,남동구,남동[재생사업지구],완료,9504 ,9572 ,5849 ,5849 ,5849 ,0 ,100 ,8106 ,7822 
국가,인천,부평구,한국수출산업 (① + ②),완료,1786 ,1785 ,1452 ,1452 ,1452 ,0 ,100 ,3340 ,3331 
국가,인천,부평구,   부평 ①,완료,609 ,609 ,522 ,522 ,522 ,0 ,100 ,1861 ,1857 
국가,인천,서구,   주안 ②,완료,1177 ,1176 ,930 ,930 ,930 ,0 ,100 ,1479 ,1474 
국가,광주,북구,광주첨단과학 (① + ②),완료,9991 ,3645 ,2643 ,2643 ,2643 ,0 ,100 ,2514 ,2101 
국가,광주,북구,   광주첨단과학(1단계) ①,완료,7931 ,2430 ,1901 ,1901 ,1901 ,0 ,100 ,2514 ,2101 
국가,광주,북구,   광주첨단과학(2단계) ②,완료,2060 ,1215 ,742 ,742 ,742 ,0 ,100 ,0 ,0 
국가,광주,광산구,빛그린 (①),완료,1845 ,1696 ,1413 ,1413 ,1157 ,256 ,82 ,125 ,97 
국가,광주,광산구,   빛그린(광주광역시 구역) ①,완료,1845 ,1696 ,1413 ,1413 ,1157 ,256 ,82 ,125 ,97 
국가,대전,유성구,대덕연구개발특구,조성중,49714 ,49714 ,23762 ,20478 ,20478 ,0 ,100 ,1786 ,1768 
국가,울산,남구,울산ㆍ미포,조성중,48468 ,45619 ,35256 ,35076 ,35076 ,0 ,100 ,1115 ,741 
국가,울산,울주군,온산,조성중,25939 ,20513 ,16891 ,16608 ,16608 ,0 ,100 ,409 ,258 
국가,세종,세종,세종스마트,미개발,2753 ,2754 ,1387 ,0 ,0 ,0 ,0 ,0 ,0 
국가,경기,안산시,반월특수지역 (① + ② + ③ + ④),조성중,149454 ,41371 ,22401 ,22255 ,21396 ,859 ,96 ,22406 ,21846 
