sigungu_cd,name,n
11110,종로구,8500
11140,중구,8154
11170,용산구,7362
11200,성동구,10169
11215,광진구,2283
11230,동대문구,7492
11260,중랑구,3081
11290,성북구,11227
11305,강북구,6131
11320,도봉구,2973
11350,노원구,3782
11380,은평구,7073
11410,서대문구,8637
11440,마포구,7554
11470,양천구,1845
11500,강서구,5994
11530,구로구,10797
11545,금천구,13879
11560,영등포구,9972
11590,동작구,9974
11620,관악구,5233
11650,서초구,6185
11680,강남구,4334
11710,송파구,4887
11740,강동구,3869
12110,목포시,16451
12130,여수시,90511
12150,순천시,88224
12170,나주시,96323
12190,광양시,63636
12210,동구,7606
12240,서구,17124
12270,남구,16189
12300,북구,25998
12330,광산구,45458
12710,담양군,57810
12720,곡성군,40541
12730,구례군,33533
12740,고흥군,86807
12750,보성군,57332
12760,화순군,65011
12770,장흥군,48118
12780,강진군,44325
12790,해남군,98889
12800,영암군,75506
12810,무안군,73492
12820,함평군,55226
12830,영광군,55365
12840,장성군,56036
12850,완도군,43689
12860,진도군,38044
12870,신안군,67743
26140,서구,6815
26170,동구,5191
26200,영도구,6120
26230,부산진구,16149
26260,동래구,8105
26290,남구,9981
26320,북구,4603
26350,해운대구,11280
26380,사하구,9863
26410,금정구,9684
26440,강서구,33213
26470,연제구,6622
26500,수영구,3520
26530,사상구,7445
26710,기장군,41767
27110,중구,6095
27140,동구,24369
27170,서구,5859
27200,남구,5439
27230,북구,16351
27260,수성구,13343
27290,달서구,10756
27710,달성군,46391
27720,군위군,35696
28125,제물포구,6277
28155,영종구,24350
28177,미추홀구,9511
28185,연수구,6141
28200,남동구,13329
28237,부평구,9757
28245,계양구,10491
28275,서해구,13725
28290,검단구,14996
28710,강화군,112676
28720,옹진군,30325
30110,동구,15765
30140,중구,12244
30170,서구,14973
30200,유성구,24774
30230,대덕구,8214
31110,중구,10256
31140,남구,12539
31170,동구,5554
31200,북구,23477
31710,울주군,118899
41111,수원시 장안구,7358
41113,수원시 권선구,12402
41115,수원시 팔달구,4975
41117,수원시 영통구,6421
41131,성남시 수정구,7534
41133,성남시 중원구,9437
41135,성남시 분당구,14348
41150,의정부시,13010
41171,안양시 만안구,6212
41173,안양시 동안구,6881
41192,부천시 원미구,7250
41194,부천시 소사구,3652
41196,부천시 오정구,6454
41210,광명시,10351
41220,평택시,172789
41250,동두천시,16708
41271,안산시 상록구,10946
41273,안산시 단원구,40948
41281,고양시 덕양구,30503
41285,고양시 일산동구,22053
41287,고양시 일산서구,10166
41290,과천시,5719
41310,구리시,6442
41360,남양주시,110909
41370,오산시,16871
41390,시흥시,46703
41410,군포시,6815
41430,의왕시,10862
41450,하남시,23744
41461,용인시 처인구,136026
41463,용인시 기흥구,28349
41465,용인시 수지구,24110
41480,파주시,132257
41500,이천시,136362
41550,안성시,105648
41570,김포시,102985
41591,화성시 만세구,239642
41593,화성시 효행구,52595
41595,화성시 병점구,8968
41597,화성시 동탄구,6636
41610,광주시,108848
41630,양주시,58177
41650,포천시,104413
41670,여주시,143502
41800,연천군,58938
41820,가평군,114251
41830,양평군,205272
43111,청주시 상당구,42369
43112,청주시 서원구,29810
43113,청주시 흥덕구,40615
43114,청주시 청원구,46111
43130,충주시,105125
43150,제천시,74467
43720,보은군,37348
43730,옥천군,52178
43740,영동군,50782
43745,증평군,12885
43750,진천군,50334
43760,괴산군,61881
43770,음성군,86433
43800,단양군,33646
44131,천안시 동남구,69054
44133,천안시 서북구,54710
44150,공주시,80883
44180,보령시,70209
44200,아산시,124463
44210,서산시,133005
44230,논산시,83837
44250,계룡시,5171
44270,당진시,165698
44710,금산군,59496
44760,부여군,59353
44770,서천군,54692
44790,청양군,31210
44800,홍성군,56075
44810,예산군,63783
44825,태안군,81236
47111,포항시 남구,67754
47113,포항시 북구,87912
47130,경주시,148223
47150,김천시,84248
47170,안동시,83225
47190,구미시,68614
47210,영주시,56113
47230,영천시,116101
47250,상주시,84435
47280,문경시,46147
47290,경산시,64867
47730,의성군,78753
47750,청송군,35770
47760,영양군,25604
47770,영덕군,43194
47820,청도군,75494
47830,고령군,36331
47840,성주군,65950
47850,칠곡군,55538
47900,예천군,47286
47920,봉화군,41472
47930,울진군,33041
47940,울릉군,5222
48121,창원시 의창구,40085
48123,창원시 성산구,6104
48125,창원시 마산합포구,35202
48127,창원시 마산회원구,11412
48129,창원시 진해구,17215
48170,진주시,74324
48220,통영시,42501
48240,사천시,59786
48250,김해시,116591
48270,밀양시,108419
48310,거제시,74659
48330,양산시,69228
48720,의령군,38704
48730,함안군,70016
48740,창녕군,79380
48820,고성군,68003
48840,남해군,58413
48850,하동군,68087
48860,산청군,53995
48870,함양군,47182
48880,거창군,55004
48890,합천군,67876
50110,제주시,167363
50130,서귀포시,128721
51110,춘천시,138981
51130,원주시,106019
51150,강릉시,71999
51170,동해시,16620
51190,태백시,9636
51210,속초시,13073
51230,삼척시,28089
51720,홍천군,93291
51730,횡성군,89667
51750,영월군,44071
51760,평창군,99266
51770,정선군,33962
51780,철원군,48618
51790,화천군,22105
51800,양구군,20151
51810,인제군,25130
51820,고성군,26214
51830,양양군,32257
52111,전주시 완산구,28686
52113,전주시 덕진구,31959
52130,군산시,86770
52140,익산시,112267
52180,정읍시,100761
52190,남원시,74097
52210,김제시,107680
52710,완주군,78418
52720,진안군,41339
52730,무주군,29516
52740,장수군,33067
52750,임실군,46728
52770,순창군,36148
52790,고창군,75432
52800,부안군,81126
