시군구코드,연도,총인구,근거
11110,2003,177519,직접
11110,2004,174372,직접
11110,2005,169315,직접
11110,2006,166793,직접
11110,2007,165846,직접
11110,2008,170705,직접
11110,2009,168603,직접
11110,2010,170578,직접
11110,2011,168382,직접
11110,2012,165207,직접
11110,2013,160070,직접
11110,2014,156993,직접
11110,2015,154986,직접
11110,2016,152737,직접
11110,2017,154770,직접
11110,2018,153065,직접
11110,2019,151290,직접
11110,2020,149384,직접
11110,2021,144683,직접
11110,2022,141379,직접
11110,2023,139417,직접
11110,2024,138336,직접
11110,2025,137048,직접
11140,2003,134548,직접
11140,2004,131971,직접
11140,2005,130027,직접
11140,2006,130649,직접
11140,2007,130044,직접
11140,2008,130362,직접
11140,2009,129465,직접
11140,2010,132822,직접
11140,2011,133193,직접
11140,2012,133360,직접
11140,2013,130465,직접
11140,2014,128065,직접
11140,2015,125733,직접
11140,2016,125249,직접
11140,2017,125709,직접
11140,2018,125725,직접
11140,2019,126171,직접
11140,2020,125240,직접
11140,2021,122499,직접
11140,2022,120437,직접
11140,2023,121312,직접
11140,2024,120544,직접
11140,2025,117805,직접
11170,2003,231871,직접
11170,2004,230107,직접
11170,2005,230260,직접
11170,2006,232035,직접
11170,2007,235832,직접
11170,2008,238224,직접
11170,2009,238708,직접
11170,2010,244853,직접
11170,2011,246501,직접
11170,2012,243232,직접
11170,2013,239740,직접
11170,2014,235951,직접
11170,2015,233342,직접
11170,2016,230241,직접
11170,2017,229161,직접
11170,2018,228999,직접
11170,2019,228670,직접
11170,2020,230040,직접
11170,2021,222953,직접
11170,2022,218650,직접
11170,2023,213151,직접
11170,2024,203854,직접
11170,2025,201894,직접
11200,2003,339368,직접
11200,2004,339113,직접
11200,2005,337744,직접
11200,2006,334437,직접
11200,2007,333535,직접
11200,2008,314212,직접
11200,2009,308058,직접
11200,2010,309093,직접
11200,2011,300711,직접
11200,2012,299604,직접
11200,2013,299337,직접
11200,2014,296086,직접
11200,2015,297003,직접
11200,2016,299259,직접
11200,2017,304808,직접
11200,2018,308221,직접
11200,2019,300889,직접
11200,2020,293556,직접
11200,2021,285990,직접
11200,2022,281000,직접
11200,2023,277361,직접
11200,2024,273669,직접
11200,2025,274606,직접
11215,2003,384929,직접
11215,2004,380537,직접
11215,2005,375613,직접
11215,2006,374442,직접
11215,2007,376572,직접
11215,2008,375482,직접
11215,2009,373998,직접
11215,2010,375463,직접
11215,2011,371936,직접
11215,2012,371313,직접
11215,2013,368927,직접
11215,2014,363354,직접
11215,2015,360369,직접
11215,2016,357215,직접
11215,2017,357703,직접
11215,2018,355559,직접
11215,2019,351350,직접
11215,2020,346682,직접
11215,2021,339996,직접
11215,2022,337416,직접
11215,2023,335554,직접
11215,2024,331963,직접
11215,2025,331167,직접
11230,2003,382875,직접
11230,2004,379404,직접
11230,2005,381110,직접
11230,2006,378860,직접
11230,2007,376421,직접
11230,2008,370250,직접
11230,2009,362146,직접
11230,2010,366786,직접
11230,2011,365486,직접
11230,2012,363258,직접
11230,2013,364273,직접
11230,2014,363687,직접
11230,2015,360153,직접
11230,2016,355069,직접
11230,2017,350647,직접
11230,2018,348052,직접
11230,2019,346194,직접
11230,2020,342837,직접
11230,2021,337400,직접
11230,2022,336644,직접
11230,2023,341149,직접
11230,2024,338735,직접
11230,2025,346241,직접
11260,2003,436089,직접
11260,2004,433858,직접
11260,2005,427373,직접
11260,2006,426078,직접
11260,2007,427071,직접
11260,2008,427871,직접
11260,2009,424761,직접
11260,2010,427455,직접
11260,2011,423706,직접
11260,2012,419295,직접
11260,2013,416798,직접
11260,2014,418836,직접
11260,2015,413909,직접
11260,2016,411005,직접
11260,2017,408226,직접
11260,2018,403209,직접
11260,2019,397015,직접
11260,2020,394702,직접
11260,2021,387350,직접
11260,2022,385318,직접
11260,2023,382155,직접
11260,2024,379274,직접
11260,2025,376916,직접
11290,2003,453057,직접
11290,2004,451122,직접
11290,2005,462879,직접
11290,2006,472843,직접
11290,2007,469973,직접
11290,2008,473357,직접
11290,2009,476028,직접
11290,2010,488932,직접
11290,2011,485171,직접
11290,2012,481857,직접
11290,2013,476589,직접
11290,2014,466706,직접
11290,2015,459275,직접
11290,2016,450355,직접
11290,2017,444055,직접
11290,2018,435868,직접
11290,2019,442650,직접
11290,2020,437153,직접
11290,2021,430528,직접
11290,2022,430397,직접
11290,2023,425602,직접
11290,2024,421560,직접
11290,2025,422559,직접
11305,2003,360663,직접
11305,2004,360525,직접
11305,2005,353260,직접
11305,2006,348990,직접
11305,2007,345478,직접
11305,2008,342274,직접
11305,2009,340367,직접
11305,2010,346520,직접
11305,2011,345054,직접
11305,2012,343157,직접
11305,2013,338707,직접
11305,2014,335025,직접
11305,2015,330873,직접
11305,2016,327195,직접
11305,2017,324479,직접
11305,2018,319164,직접
11305,2019,313954,직접
11305,2020,308055,직접
11305,2021,299182,직접
11305,2022,293660,직접
11305,2023,288113,직접
