영업소코드,영업소명,연도,차종,교통량
11,인천,2008,1종,40958556
11,인천,2008,2종,1803035
11,인천,2008,3종,763231
11,인천,2008,4종,635396
11,인천,2008,5종,1689547
11,인천,2008,6종,2653091
53,남인천,2008,1종,22141765
53,남인천,2008,2종,832691
53,남인천,2008,3종,576976
53,남인천,2008,4종,277054
53,남인천,2008,5종,1009707
53,남인천,2008,6종,1264323
56,일로,2008,1종,300098
56,일로,2008,2종,11821
56,일로,2008,3종,4012
56,일로,2008,4종,2796
56,일로,2008,5종,5968
56,일로,2008,6종,14386
61,성남,2008,1종,40972061
61,성남,2008,2종,2350118
61,성남,2008,3종,1472376
61,성남,2008,4종,590922
61,성남,2008,5종,750772
61,성남,2008,6종,1883205
62,구리남양주,2008,1종,54707748
62,구리남양주,2008,2종,3201118
62,구리남양주,2008,3종,1672421
62,구리남양주,2008,4종,918708
62,구리남양주,2008,5종,1071375
62,구리남양주,2008,6종,2620513
63,토평,2008,1종,5362355
63,토평,2008,2종,264001
63,토평,2008,3종,65049
63,토평,2008,4종,66732
63,토평,2008,5종,107169
63,토평,2008,6종,260197
64,청계,2008,1종,51573759
64,청계,2008,2종,2440176
64,청계,2008,3종,1468576
64,청계,2008,4종,475959
64,청계,2008,5종,1088038
64,청계,2008,6종,2624144
65,판교,2008,1종,29739840
65,판교,2008,2종,626624
65,판교,2008,3종,1430061
65,판교,2008,4종,368685
65,판교,2008,5종,390198
65,판교,2008,6종,1129108
66,하남,2008,1종,9350015
66,하남,2008,2종,396984
66,하남,2008,3종,231501
66,하남,2008,4종,106346
66,하남,2008,5종,146928
66,하남,2008,6종,394078
67,시흥,2008,1종,44269185
67,시흥,2008,2종,2389197
67,시흥,2008,3종,1553193
67,시흥,2008,4종,745862
67,시흥,2008,5종,861045
67,시흥,2008,6종,2259302
68,김포,2008,1종,48526889
68,김포,2008,2종,2688940
68,김포,2008,3종,1067922
68,김포,2008,4종,655714
68,김포,2008,5종,1346692
68,김포,2008,6종,2545100
69,대왕판교,2008,1종,1185747
69,대왕판교,2008,2종,5249
69,대왕판교,2008,3종,739
69,대왕판교,2008,4종,240
69,대왕판교,2008,5종,74
69,대왕판교,2008,6종,45117
91,대동(개),2008,1종,1606930
91,대동(개),2008,2종,130442
91,대동(개),2008,3종,32219
91,대동(개),2008,4종,190114
91,대동(개),2008,5종,117636
91,대동(개),2008,6종,98969
92,내서,2008,1종,3156870
92,내서,2008,2종,168639
92,내서,2008,3종,112600
92,내서,2008,4종,38788
92,내서,2008,5종,90826
92,내서,2008,6종,234616
101,서울,2008,1종,60275031
101,서울,2008,2종,2998963
101,서울,2008,3종,5439147
101,서울,2008,4종,807924
101,서울,2008,5종,605030
101,서울,2008,6종,2161859
102,동수원,2008,1종,23902263
102,동수원,2008,2종,622049
102,동수원,2008,3종,879215
102,동수원,2008,4종,180517
102,동수원,2008,5종,280045
102,동수원,2008,6종,1083862
103,수원신갈,2008,1종,27313034
103,수원신갈,2008,2종,1373223
103,수원신갈,2008,3종,1389010
103,수원신갈,2008,4종,360309
103,수원신갈,2008,5종,366494
103,수원신갈,2008,6종,1171224
104,지곡,2008,1종,413679
104,지곡,2008,2종,27657
104,지곡,2008,3종,19365
104,지곡,2008,4종,9324
104,지곡,2008,5종,23109
104,지곡,2008,6종,15971
105,기흥,2008,1종,9047209
105,기흥,2008,2종,763997
105,기흥,2008,3종,369325
105,기흥,2008,4종,205604
105,기흥,2008,5종,231333
105,기흥,2008,6종,368518
106,오산,2008,1종,13814146
106,오산,2008,2종,1359660
106,오산,2008,3종,917923
106,오산,2008,4종,427125
106,오산,2008,5종,411727
106,오산,2008,6종,623351
107,안성,2008,1종,10148133
107,안성,2008,2종,745572
107,안성,2008,3종,683725
107,안성,2008,4종,235662
107,안성,2008,5종,287070
107,안성,2008,6종,440522
108,천안,2008,1종,14169162
108,천안,2008,2종,804122
108,천안,2008,3종,1020489
108,천안,2008,4종,389666
108,천안,2008,5종,412642
108,천안,2008,6종,502519
109,계룡,2008,1종,1664858
109,계룡,2008,2종,133990
109,계룡,2008,3종,130924
109,계룡,2008,4종,76505
109,계룡,2008,5종,60259
109,계룡,2008,6종,89438
110,독립기념관,2008,1종,4088673
110,독립기념관,2008,2종,469253
110,독립기념관,2008,3종,320260
110,독립기념관,2008,4종,316808
110,독립기념관,2008,5종,376842
110,독립기념관,2008,6종,129781
111,청주,2008,1종,5765780
111,청주,2008,2종,383436
111,청주,2008,3종,565532
111,청주,2008,4종,171598
111,청주,2008,5종,250272
111,청주,2008,6종,204153
112,남청주,2008,1종,5031409
112,남청주,2008,2종,462891
112,남청주,2008,3종,341225
112,남청주,2008,4종,389738
112,남청주,2008,5종,390077
112,남청주,2008,6종,191245
113,신탄진,2008,1종,7015885
113,신탄진,2008,2종,707046
113,신탄진,2008,3종,279661
113,신탄진,2008,4종,445236
113,신탄진,2008,5종,474396
113,신탄진,2008,6종,259382
114,남대전,2008,1종,2610567
114,남대전,2008,2종,152831
114,남대전,2008,3종,77129
114,남대전,2008,4종,43309
114,남대전,2008,5종,81620
114,남대전,2008,6종,108223
115,대전,2008,1종,12987158
115,대전,2008,2종,587670
115,대전,2008,3종,934363
115,대전,2008,4종,212096
115,대전,2008,5종,259902
115,대전,2008,6종,533921
116,옥천,2008,1종,3565720
116,옥천,2008,2종,354434
116,옥천,2008,3종,128735
116,옥천,2008,4종,326248
116,옥천,2008,5종,129244
116,옥천,2008,6종,164035
117,금강,2008,1종,460940
117,금강,2008,2종,25892
117,금강,2008,3종,8958
117,금강,2008,4종,33011
117,금강,2008,5종,13711
117,금강,2008,6종,24655
118,영동,2008,1종,1017902
118,영동,2008,2종,79058
118,영동,2008,3종,41429
118,영동,2008,4종,30872
118,영동,2008,5종,67692
118,영동,2008,6종,37936
119,판암,2008,1종,4133377
119,판암,2008,2종,182359
119,판암,2008,3종,70229
119,판암,2008,4종,80874
119,판암,2008,5종,84391
119,판암,2008,6종,202706
120,황간,2008,1종,805342
120,황간,2008,2종,52145
120,황간,2008,3종,45291
120,황간,2008,4종,49042
120,황간,2008,5종,36483
120,황간,2008,6종,29305
121,추풍령,2008,1종,461750
121,추풍령,2008,2종,27760
121,추풍령,2008,3종,15300
121,추풍령,2008,4종,12340
121,추풍령,2008,5종,14641
121,추풍령,2008,6종,22409
122,김천,2008,1종,2998632
122,김천,2008,2종,189607
122,김천,2008,3종,150844
122,김천,2008,4종,95339
122,김천,2008,5종,141419
122,김천,2008,6종,108691
123,구미,2008,1종,8304989
123,구미,2008,2종,293073
123,구미,2008,3종,359931
123,구미,2008,4종,159132
123,구미,2008,5종,139166
123,구미,2008,6종,342700
124,상주,2008,1종,1609054
124,상주,2008,2종,203198
124,상주,2008,3종,130380
124,상주,2008,4종,124456
124,상주,2008,5종,114912
124,상주,2008,6종,54081
125,남구미,2008,1종,5691019
125,남구미,2008,2종,332503
125,남구미,2008,3종,316453
125,남구미,2008,4종,186926
125,남구미,2008,5종,450583
125,남구미,2008,6종,252321
126,왜관,2008,1종,6933061
126,왜관,2008,2종,624858
126,왜관,2008,3종,264872
126,왜관,2008,4종,179945
126,왜관,2008,5종,437995
126,왜관,2008,6종,286075
127,서대구,2008,1종,25894746
127,서대구,2008,2종,2154698
127,서대구,2008,3종,1268371
127,서대구,2008,4종,652709
127,서대구,2008,5종,1128946
127,서대구,2008,6종,1010153
129,북대구,2008,1종,18439836
129,북대구,2008,2종,853013
129,북대구,2008,3종,478328
129,북대구,2008,4종,190425
129,북대구,2008,5종,333142
129,북대구,2008,6종,667520
131,경산,2008,1종,8715569
131,경산,2008,2종,1021118
131,경산,2008,3종,354049
131,경산,2008,4종,343731
131,경산,2008,5종,389302
131,경산,2008,6종,401984
132,영천,2008,1종,3643487
132,영천,2008,2종,371918
132,영천,2008,3종,296629
132,영천,2008,4종,151233
132,영천,2008,5종,544757
132,영천,2008,6종,106611
133,서경주,2008,1종,1653329
133,서경주,2008,2종,127268
133,서경주,2008,3종,98093
133,서경주,2008,4종,63700
133,서경주,2008,5종,243135
133,서경주,2008,6종,46350
134,선산,2008,1종,1062051
134,선산,2008,2종,92036
134,선산,2008,3종,43146
134,선산,2008,4종,45693
134,선산,2008,5종,46578
134,선산,2008,6종,39222
135,경주,2008,1종,9280745
135,경주,2008,2종,633750
135,경주,2008,3종,894933
135,경주,2008,4종,297236
135,경주,2008,5종,1163712
135,경주,2008,6종,301946
137,통도사,2008,1종,3754453
137,통도사,2008,2종,275066
137,통도사,2008,3종,173497
137,통도사,2008,4종,118036
137,통도사,2008,5종,181366
137,통도사,2008,6종,166142
138,양산,2008,1종,7720997
138,양산,2008,2종,1237843
138,양산,2008,3종,476087
138,양산,2008,4종,538674
138,양산,2008,5종,761421
138,양산,2008,6종,396747
139,서울산,2008,1종,4676805
139,서울산,2008,2종,369649
139,서울산,2008,3종,275706
139,서울산,2008,4종,109999
139,서울산,2008,5종,220051
139,서울산,2008,6종,205150
140,부산,2008,1종,17438611
140,부산,2008,2종,917353
140,부산,2008,3종,551666
140,부산,2008,4종,402407
140,부산,2008,5종,975471
140,부산,2008,6종,830190
141,,2008,1종,12054886
141,,2008,2종,941137
141,,2008,3종,806403
141,,2008,4종,591429
141,,2008,5종,1672026
141,,2008,6종,462247
142,군북,2008,1종,2903092
142,군북,2008,2종,167081
142,군북,2008,3종,106727
142,군북,2008,4종,79904
142,군북,2008,5종,258450
142,군북,2008,6종,150397
143,장지,2008,1종,1033580
143,장지,2008,2종,82462
143,장지,2008,3종,28315
143,장지,2008,4종,31680
143,장지,2008,5종,170450
143,장지,2008,6종,53158
144,함안,2008,1종,3507729
144,함안,2008,2종,226999
144,함안,2008,3종,121932
144,함안,2008,4종,82271
144,함안,2008,5종,209979
144,함안,2008,6종,208140
145,산인,2008,1종,7401665
145,산인,2008,2종,304549
145,산인,2008,3종,361855
145,산인,2008,4종,158172
145,산인,2008,5종,285328
145,산인,2008,6종,412944
146,동창원,2008,1종,6671510
146,동창원,2008,2종,549589
146,동창원,2008,3종,188404
146,동창원,2008,4종,167525
146,동창원,2008,5종,393896
146,동창원,2008,6종,400131
147,진례,2008,1종,5112335
147,진례,2008,2종,633845
147,진례,2008,3종,202318
147,진례,2008,4종,234427
147,진례,2008,5종,303459
147,진례,2008,6종,287149
148,서김해,2008,1종,8982875
148,서김해,2008,2종,599835
148,서김해,2008,3종,235508
148,서김해,2008,4종,181103
148,서김해,2008,5종,371932
148,서김해,2008,6종,550120
149,동김해,2008,1종,14503253
149,동김해,2008,2종,621024
149,동김해,2008,3종,286142
149,동김해,2008,4종,157330
149,동김해,2008,5종,281148
149,동김해,2008,6종,1059314
150,북부산,2008,1종,30201325
150,북부산,2008,2종,1671730
150,북부산,2008,3종,967392
150,북부산,2008,4종,582970
150,북부산,2008,5종,1537724
150,북부산,2008,6종,1809557
151,북대전,2008,1종,6486300
151,북대전,2008,2종,219203
151,북대전,2008,3종,275590
151,북대전,2008,4종,127108
151,북대전,2008,5종,129412
151,북대전,2008,6종,293638
152,유성,2008,1종,9723164
152,유성,2008,2종,450455
152,유성,2008,3종,427585
152,유성,2008,4종,203198
152,유성,2008,5종,213545
152,유성,2008,6종,367249
153,서대전,2008,1종,5923570
153,서대전,2008,2종,308434
153,서대전,2008,3종,166842
153,서대전,2008,4종,143155
153,서대전,2008,5종,164245
153,서대전,2008,6종,280280
154,안영,2008,1종,4052762
154,안영,2008,2종,182110
154,안영,2008,3종,103135
154,안영,2008,4종,52361
154,안영,2008,5종,114962
154,안영,2008,6종,184009
155,논산,2008,1종,2351648
155,논산,2008,2종,290574
155,논산,2008,3종,188798
155,논산,2008,4종,141759
155,논산,2008,5종,143588
155,논산,2008,6종,78069
156,익산,2008,1종,3185985
156,익산,2008,2종,315956
156,익산,2008,3종,294798
156,익산,2008,4종,150584
156,익산,2008,5종,245346
156,익산,2008,6종,81208
157,삼례,2008,1종,1076034
157,삼례,2008,2종,118547
157,삼례,2008,3종,49765
157,삼례,2008,4종,43590
157,삼례,2008,5종,86203
157,삼례,2008,6종,28194
158,전주,2008,1종,6235211
158,전주,2008,2종,422704
158,전주,2008,3종,598718
158,전주,2008,4종,187860
158,전주,2008,5종,453528
158,전주,2008,6종,164468
159,서전주,2008,1종,2314356
159,서전주,2008,2종,116262
159,서전주,2008,3종,77231
159,서전주,2008,4종,32528
159,서전주,2008,5종,63895
159,서전주,2008,6종,62253
160,김제,2008,1종,1152533
160,김제,2008,2종,89201
160,김제,2008,3종,102370
160,김제,2008,4종,32035
160,김제,2008,5종,53801
160,김제,2008,6종,32313
161,금산사,2008,1종,605244
161,금산사,2008,2종,77956
161,금산사,2008,3종,30297
161,금산사,2008,4종,18121
161,금산사,2008,5종,40730
161,금산사,2008,6종,16405
162,태인,2008,1종,1447003
162,태인,2008,2종,135818
162,태인,2008,3종,81603
162,태인,2008,4종,34160
162,태인,2008,5종,62941
162,태인,2008,6종,42865
