영업소코드,영업소명,연월,차종,교통량
11,인천,2014-01,1종,3372423
11,인천,2014-01,2종,104496
11,인천,2014-01,3종,73228
11,인천,2014-01,4종,52859
11,인천,2014-01,5종,93598
11,인천,2014-01,6종,307347
12,서영암(개),2014-01,1종,28204
12,서영암(개),2014-01,2종,518
12,서영암(개),2014-01,3종,502
12,서영암(개),2014-01,4종,342
12,서영암(개),2014-01,5종,386
12,서영암(개),2014-01,6종,1555
13,순천만,2014-01,1종,114543
13,순천만,2014-01,2종,3843
13,순천만,2014-01,3종,3429
13,순천만,2014-01,4종,2954
13,순천만,2014-01,5종,7818
13,순천만,2014-01,6종,4829
53,남인천,2014-01,1종,1566661
53,남인천,2014-01,2종,40274
53,남인천,2014-01,3종,50405
53,남인천,2014-01,4종,18787
53,남인천,2014-01,5종,55333
53,남인천,2014-01,6종,131589
56,일로,2014-01,1종,39422
56,일로,2014-01,2종,1287
56,일로,2014-01,3종,905
56,일로,2014-01,4종,691
56,일로,2014-01,5종,884
56,일로,2014-01,6종,2122
61,성남,2014-01,1종,3615806
61,성남,2014-01,2종,134456
61,성남,2014-01,3종,138950
61,성남,2014-01,4종,67956
61,성남,2014-01,5종,89928
61,성남,2014-01,6종,254279
62,구리남양주,2014-01,1종,4658606
62,구리남양주,2014-01,2종,187156
62,구리남양주,2014-01,3종,172121
62,구리남양주,2014-01,4종,96956
62,구리남양주,2014-01,5종,84283
62,구리남양주,2014-01,6종,348359
63,토평,2014-01,1종,456573
63,토평,2014-01,2종,14024
63,토평,2014-01,3종,6930
63,토평,2014-01,4종,7957
63,토평,2014-01,5종,9834
63,토평,2014-01,6종,37090
64,청계,2014-01,1종,4230922
64,청계,2014-01,2종,139468
64,청계,2014-01,3종,132525
64,청계,2014-01,4종,41366
64,청계,2014-01,5종,79950
64,청계,2014-01,6종,323137
65,판교,2014-01,1종,2770399
65,판교,2014-01,2종,42985
65,판교,2014-01,3종,170318
65,판교,2014-01,4종,15243
65,판교,2014-01,5종,16247
65,판교,2014-01,6종,165036
66,하남,2014-01,1종,731583
66,하남,2014-01,2종,25554
66,하남,2014-01,3종,14924
66,하남,2014-01,4종,6599
66,하남,2014-01,5종,12741
66,하남,2014-01,6종,56368
67,시흥,2014-01,1종,3621601
67,시흥,2014-01,2종,131235
67,시흥,2014-01,3종,103852
67,시흥,2014-01,4종,59550
67,시흥,2014-01,5종,62977
67,시흥,2014-01,6종,278507
68,김포,2014-01,1종,4368106
68,김포,2014-01,2종,167628
68,김포,2014-01,3종,130681
68,김포,2014-01,4종,68407
68,김포,2014-01,5종,95848
68,김포,2014-01,6종,353876
69,대왕판교,2014-01,1종,192398
69,대왕판교,2014-01,2종,1369
69,대왕판교,2014-01,3종,155
69,대왕판교,2014-01,4종,44
69,대왕판교,2014-01,5종,8
69,대왕판교,2014-01,6종,11318
74,덕소삼패,2014-01,1종,266046
74,덕소삼패,2014-01,2종,7877
74,덕소삼패,2014-01,3종,3342
74,덕소삼패,2014-01,4종,6397
74,덕소삼패,2014-01,5종,13005
74,덕소삼패,2014-01,6종,22078
91,대동(개),2014-01,1종,126110
91,대동(개),2014-01,2종,8983
91,대동(개),2014-01,3종,5028
91,대동(개),2014-01,4종,21959
91,대동(개),2014-01,5종,10065
91,대동(개),2014-01,6종,8397
92,내서,2014-01,1종,211080
92,내서,2014-01,2종,7819
92,내서,2014-01,3종,9701
92,내서,2014-01,4종,3385
92,내서,2014-01,5종,6654
92,내서,2014-01,6종,19186
101,서울,2014-01,1종,5022718
101,서울,2014-01,2종,184227
101,서울,2014-01,3종,547222
101,서울,2014-01,4종,88577
101,서울,2014-01,5종,51806
101,서울,2014-01,6종,246956
102,동수원,2014-01,1종,1905090
102,동수원,2014-01,2종,35599
102,동수원,2014-01,3종,77648
102,동수원,2014-01,4종,14065
102,동수원,2014-01,5종,17074
102,동수원,2014-01,6종,118795
103,수원신갈,2014-01,1종,2295390
103,수원신갈,2014-01,2종,94384
103,수원신갈,2014-01,3종,149775
103,수원신갈,2014-01,4종,42735
103,수원신갈,2014-01,5종,23965
103,수원신갈,2014-01,6종,130258
104,지곡,2014-01,1종,40466
104,지곡,2014-01,2종,1458
104,지곡,2014-01,3종,1913
104,지곡,2014-01,4종,1805
104,지곡,2014-01,5종,1814
104,지곡,2014-01,6종,1512
105,기흥,2014-01,1종,328139
105,기흥,2014-01,2종,26017
105,기흥,2014-01,3종,15624
105,기흥,2014-01,4종,12403
105,기흥,2014-01,5종,9688
105,기흥,2014-01,6종,19027
106,오산,2014-01,1종,1042443
106,오산,2014-01,2종,87298
106,오산,2014-01,3종,98163
106,오산,2014-01,4종,43141
106,오산,2014-01,5종,29378
106,오산,2014-01,6종,69083
107,안성,2014-01,1종,755328
107,안성,2014-01,2종,31513
107,안성,2014-01,3종,48901
107,안성,2014-01,4종,15488
107,안성,2014-01,5종,10814
107,안성,2014-01,6종,47803
108,천안,2014-01,1종,1341739
108,천안,2014-01,2종,43796
108,천안,2014-01,3종,94266
108,천안,2014-01,4종,35914
108,천안,2014-01,5종,29950
108,천안,2014-01,6종,65504
109,계룡,2014-01,1종,127703
109,계룡,2014-01,2종,9490
109,계룡,2014-01,3종,11869
109,계룡,2014-01,4종,9778
109,계룡,2014-01,5종,4372
109,계룡,2014-01,6종,8076
110,독립기념관,2014-01,1종,311896
110,독립기념관,2014-01,2종,20421
110,독립기념관,2014-01,3종,24988
110,독립기념관,2014-01,4종,29605
110,독립기념관,2014-01,5종,17538
110,독립기념관,2014-01,6종,13200
111,청주,2014-01,1종,447007
111,청주,2014-01,2종,17758
111,청주,2014-01,3종,46520
111,청주,2014-01,4종,13542
111,청주,2014-01,5종,18943
111,청주,2014-01,6종,22289
112,남청주,2014-01,1종,461122
112,남청주,2014-01,2종,38721
112,남청주,2014-01,3종,37198
112,남청주,2014-01,4종,43282
112,남청주,2014-01,5종,34300
112,남청주,2014-01,6종,21085
113,신탄진,2014-01,1종,712618
113,신탄진,2014-01,2종,41874
113,신탄진,2014-01,3종,31637
113,신탄진,2014-01,4종,54944
113,신탄진,2014-01,5종,45571
113,신탄진,2014-01,6종,37972
114,남대전,2014-01,1종,276721
114,남대전,2014-01,2종,11284
114,남대전,2014-01,3종,8236
114,남대전,2014-01,4종,4253
114,남대전,2014-01,5종,7939
114,남대전,2014-01,6종,13914
115,대전,2014-01,1종,1233331
115,대전,2014-01,2종,36544
115,대전,2014-01,3종,78122
115,대전,2014-01,4종,16684
115,대전,2014-01,5종,13709
115,대전,2014-01,6종,65381
116,옥천,2014-01,1종,335566
116,옥천,2014-01,2종,19807
116,옥천,2014-01,3종,16220
116,옥천,2014-01,4종,32529
116,옥천,2014-01,5종,17377
116,옥천,2014-01,6종,19138
117,금강,2014-01,1종,31837
117,금강,2014-01,2종,1496
117,금강,2014-01,3종,1132
117,금강,2014-01,4종,3361
117,금강,2014-01,5종,651
117,금강,2014-01,6종,1833
118,영동,2014-01,1종,79010
118,영동,2014-01,2종,4546
118,영동,2014-01,3종,4424
118,영동,2014-01,4종,2931
118,영동,2014-01,5종,5107
118,영동,2014-01,6종,3581
119,판암,2014-01,1종,431585
119,판암,2014-01,2종,13158
119,판암,2014-01,3종,8191
119,판암,2014-01,4종,5519
119,판암,2014-01,5종,5280
119,판암,2014-01,6종,23953
120,황간,2014-01,1종,74575
120,황간,2014-01,2종,2278
120,황간,2014-01,3종,4148
120,황간,2014-01,4종,3825
120,황간,2014-01,5종,4616
120,황간,2014-01,6종,2861
121,추풍령,2014-01,1종,38486
121,추풍령,2014-01,2종,1188
121,추풍령,2014-01,3종,1481
121,추풍령,2014-01,4종,950
121,추풍령,2014-01,5종,1120
121,추풍령,2014-01,6종,1734
122,김천,2014-01,1종,215865
122,김천,2014-01,2종,7905
122,김천,2014-01,3종,9864
122,김천,2014-01,4종,9989
122,김천,2014-01,5종,8979
122,김천,2014-01,6종,9724
123,구미,2014-01,1종,752465
123,구미,2014-01,2종,19089
123,구미,2014-01,3종,33162
123,구미,2014-01,4종,18573
123,구미,2014-01,5종,14593
123,구미,2014-01,6종,37812
124,상주,2014-01,1종,132154
124,상주,2014-01,2종,5866
124,상주,2014-01,3종,5386
124,상주,2014-01,4종,8014
124,상주,2014-01,5종,7709
124,상주,2014-01,6종,4408
125,남구미,2014-01,1종,529992
125,남구미,2014-01,2종,21588
125,남구미,2014-01,3종,29823
125,남구미,2014-01,4종,21387
125,남구미,2014-01,5종,39783
125,남구미,2014-01,6종,30147
126,왜관,2014-01,1종,581017
126,왜관,2014-01,2종,45313
126,왜관,2014-01,3종,27988
126,왜관,2014-01,4종,22068
126,왜관,2014-01,5종,27925
126,왜관,2014-01,6종,28575
127,서대구,2014-01,1종,1824369
127,서대구,2014-01,2종,87906
127,서대구,2014-01,3종,96507
127,서대구,2014-01,4종,48227
127,서대구,2014-01,5종,57409
127,서대구,2014-01,6종,82175
128,금왕꽃동네,2014-01,1종,41768
128,금왕꽃동네,2014-01,2종,5304
128,금왕꽃동네,2014-01,3종,4566
128,금왕꽃동네,2014-01,4종,3762
128,금왕꽃동네,2014-01,5종,4124
128,금왕꽃동네,2014-01,6종,1786
129,북대구,2014-01,1종,1681541
129,북대구,2014-01,2종,58392
129,북대구,2014-01,3종,48200
129,북대구,2014-01,4종,22779
129,북대구,2014-01,5종,25585
129,북대구,2014-01,6종,72458
130,동김천,2014-01,1종,99231
130,동김천,2014-01,2종,4752
130,동김천,2014-01,3종,6472
130,동김천,2014-01,4종,6918
130,동김천,2014-01,5종,11047
130,동김천,2014-01,6종,3971
131,경산,2014-01,1종,766888
131,경산,2014-01,2종,73665
131,경산,2014-01,3종,48586
131,경산,2014-01,4종,40861
131,경산,2014-01,5종,36849
131,경산,2014-01,6종,41660
132,영천,2014-01,1종,388567
132,영천,2014-01,2종,24080
132,영천,2014-01,3종,24934
132,영천,2014-01,4종,20721
132,영천,2014-01,5종,39879
132,영천,2014-01,6종,15603
133,서경주,2014-01,1종,170995
133,서경주,2014-01,2종,8198
133,서경주,2014-01,3종,10317
133,서경주,2014-01,4종,8336
133,서경주,2014-01,5종,24035
