영업소코드,첫관측월,마지막관측월,개통판정,종료판정,첫해개월수,첫온전연도,최장휴지개월
2,2025-01,2025-12,개통,운영중,12,2025,0
3,2025-01,2025-12,개통,운영중,12,2025,0
11,2004-01,2025-12,좌측절단,운영중,11,2005,0
12,2012-04,2025-12,개통,운영중,9,2013,0
13,2012-04,2025-12,개통,운영중,9,2013,0
22,2004-01,2004-11,좌측절단,폐쇄,10,2005,0
25,2016-04,2025-12,개통,운영중,9,2017,0
29,2014-10,2025-12,개통,운영중,3,2015,0
53,2004-01,2025-12,좌측절단,운영중,11,2005,0
56,2004-01,2025-12,좌측절단,운영중,11,2005,0
57,2022-03,2025-12,개통,운영중,10,2023,0
58,2022-03,2025-12,개통,운영중,10,2023,0
59,2025-01,2025-12,개통,운영중,12,2025,0
61,2004-01,2025-12,좌측절단,운영중,11,2005,0
62,2004-01,2025-12,좌측절단,운영중,11,2005,0
63,2004-01,2025-12,좌측절단,운영중,11,2005,0
64,2004-01,2025-12,좌측절단,운영중,11,2005,0
65,2004-01,2025-12,좌측절단,운영중,11,2005,0
66,2004-01,2025-12,좌측절단,운영중,11,2005,0
67,2004-01,2025-12,좌측절단,운영중,11,2005,0
68,2004-01,2025-12,좌측절단,운영중,11,2005,0
69,2008-06,2025-12,개통,운영중,7,2009,0
73,2025-01,2025-12,개통,운영중,12,2025,0
74,2009-07,2025-12,개통,운영중,6,2010,0
91,2004-01,2025-12,좌측절단,운영중,11,2005,0
92,2004-08,2025-12,개통,운영중,5,2005,0
101,2004-01,2025-12,좌측절단,운영중,11,2005,0
102,2004-01,2025-12,좌측절단,운영중,11,2005,0
103,2004-01,2025-12,좌측절단,운영중,11,2005,0
104,2004-01,2025-12,좌측절단,운영중,11,2005,0
105,2004-01,2025-12,좌측절단,운영중,11,2005,0
106,2004-01,2025-12,좌측절단,운영중,11,2005,0
107,2004-01,2025-12,좌측절단,운영중,11,2005,0
108,2004-01,2025-12,좌측절단,운영중,11,2005,0
109,2004-01,2025-12,좌측절단,운영중,11,2005,0
110,2004-01,2025-12,좌측절단,운영중,11,2005,0
111,2004-01,2025-12,좌측절단,운영중,11,2005,0
112,2004-01,2025-12,좌측절단,운영중,11,2005,0
113,2004-01,2025-12,좌측절단,운영중,11,2005,0
114,2004-01,2025-12,좌측절단,운영중,11,2005,0
115,2004-01,2025-12,좌측절단,운영중,11,2005,0
116,2004-01,2025-12,좌측절단,운영중,11,2005,0
117,2004-01,2025-12,좌측절단,운영중,11,2005,0
118,2004-01,2025-12,좌측절단,운영중,11,2005,0
119,2004-01,2025-12,좌측절단,운영중,11,2005,0
120,2004-01,2025-12,좌측절단,운영중,11,2005,0
121,2004-01,2025-12,좌측절단,운영중,11,2005,0
122,2004-01,2025-12,좌측절단,운영중,11,2005,0
123,2004-01,2025-12,좌측절단,운영중,11,2005,0
124,2004-01,2025-12,좌측절단,운영중,11,2005,0
125,2004-01,2025-12,좌측절단,운영중,11,2005,0
126,2004-01,2025-12,좌측절단,운영중,11,2005,0
127,2004-01,2025-12,좌측절단,운영중,11,2005,0
128,2013-11,2025-12,개통,운영중,2,2014,0
129,2004-01,2025-12,좌측절단,운영중,11,2005,0
130,2004-01,2025-12,좌측절단,운영중,11,2005,78
131,2004-01,2025-12,좌측절단,운영중,11,2005,0
132,2004-01,2025-12,좌측절단,운영중,11,2005,0
133,2004-01,2025-12,좌측절단,운영중,11,2005,0
134,2004-01,2025-12,좌측절단,운영중,11,2005,0
135,2004-01,2025-12,좌측절단,운영중,11,2005,0
136,2004-01,2025-12,좌측절단,운영중,11,2005,101
137,2004-01,2025-12,좌측절단,운영중,11,2005,0
138,2004-01,2025-12,좌측절단,운영중,11,2005,0
139,2004-01,2025-12,좌측절단,운영중,11,2005,0
140,2004-01,2025-12,좌측절단,운영중,11,2005,0
141,2004-01,2008-12,좌측절단,폐쇄,11,2005,0
142,2004-01,2025-12,좌측절단,운영중,11,2005,0
143,2004-01,2025-12,좌측절단,운영중,11,2005,0
144,2004-01,2025-12,좌측절단,운영중,11,2005,0
145,2004-01,2025-12,좌측절단,운영중,11,2005,0
146,2004-01,2025-12,좌측절단,운영중,11,2005,0
147,2004-01,2025-12,좌측절단,운영중,11,2005,0
148,2004-01,2025-12,좌측절단,운영중,11,2005,0
149,2004-01,2025-12,좌측절단,운영중,11,2005,0
150,2004-01,2025-12,좌측절단,운영중,11,2005,0
151,2004-01,2025-12,좌측절단,운영중,11,2005,0
152,2004-01,2025-12,좌측절단,운영중,11,2005,0
