bizNm,ctpvNm,sggNm,lctnRoadNmAddr,lctnLotnoAddr,lat,lot,bizBgngYm,bizEndYm,telno,bizDvlrNm,actcHhCnt,bzar,bizMthSeNm,dataCrtrYmd,insttCode,insttNm
태평3지구,경기도,여주시,,경기도 여주시 가남읍 태평리 산43-1,37.20924483,127.5371332,2025-03,,031-634-6461,태평3지구 도시개발사업조합,644,,환지,2025-12-22,5700000,경기도 여주시
여흥지구,경기도,여주시,,경기도 여주시 홍문동 274-6,37.29034759,127.6356027,1982-02,1996-08,031-887-3016,여주시,,,환지,2025-12-22,5700000,경기도 여주시
하리지구,경기도,여주시,,경기도 여주시 하동 303,37.29618024,127.6311287,2025-01,2025-02,031-887-3016,여주시,51,,환지,2025-12-22,5700000,경기도 여주시
천송2지구,경기도,여주시,,경기도 여주시 천송동 490-4,37.30229229,127.6483868,2025-12,2025-12,031-887-3016,여주시,,,환지,2025-12-22,5700000,경기도 여주시
하리1지구,경기도,여주시,,경기도 여주시 하동 62-1,37.30031398,127.6241642,2025-04,2025-10,031-887-3016,여주시,263,,환지,2025-12-22,5700000,경기도 여주시
법무지구,경기도,여주시,,경기도 여주시 현암동 616-1,37.31267655,127.6321946,2025-04,2025-12,031-887-3016,여주시,80,,환지,2025-12-22,5700000,경기도 여주시
하리2지구,경기도,여주시,,경기도 여주시 하동 50-2,37.30129163,127.6223048,2025-04,2025-07,031-887-3016,여주시,104,,환지,2025-12-22,5700000,경기도 여주시
청안지구,경기도,여주시,,경기도 여주시 점동면 청안리 136-1,37.2045925,127.6606799,2025-05,2025-02,031-887-3016,여주시,115,,환지,2025-12-22,5700000,경기도 여주시
오학천송지구,경기도,여주시,,경기도 여주시 오학동 409,37.30547297,127.645351,2025-06,2025-07,031-887-3016,여주시,277,,환지,2025-12-22,5700000,경기도 여주시
신방구룡구역 도시개발사업,충청남도,천안시 동남구,충청남도 천안시 동남구 풍세로 592-7 (신방동),충청남도 천안시 동남구 신방동 246-1,36.76531109,127.1314679,2023-01,2028-12,02-404-4757,천안 신방구룡구역 도시개발사업조합,3661,354491,환지,2026-01-22,4490000,충청남도 천안시
업성2구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 업성동 369-15,36.853567,127.133745,2023-01,2028-12,070-4470-7292,업성개발피에프브이,1267,94992,수용,2026-01-22,4490000,충청남도 천안시
부대1구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 과수원길 60 (부대동),충청남도 천안시 서북구 부대동 407-8,36.84520371,127.1431672,2023-01,2026-12,053-768-6600,씨더블유제이,1222,131559,수용,2026-01-22,4490000,충청남도 천안시
성거소우구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 성거읍 소우리 산 14,36.866980,127.178540,2023-01,2027-12,02-3487-5931,두양종합건설,8284,973725.9,수용,2026-01-22,4490000,충청남도 천안시
용현·학익 2-2블록 인하대역(1구역) 도시개발사업,인천광역시,미추홀구,,"인천광역시 미추홀구 용현동 604-7, 일원",37.4454259909,126.6472476257,2022-07,,000-000-0000,아이월드 주식회사,1199,97932,수용,2025-01-05,3510500,인천광역시 미추홀구
연천 옥산지구 도시개발사업,경기도,연천군,경기도 연천군 연천읍 차옥로 149,경기도 연천군 연천읍 옥산리 860,38.10459127,127.0795298,2012-01,2023-01,031-839-2401,연천군,639,45026,수용,2025-12-12,4140000,경기도 연천군
용현·학익 1블록 도시개발사업,인천광역시,미추홀구,,"인천광역시 미추홀구 학익동 587-1, 일원",37.4423824379,126.651321,2009-06,,000-000-0000,주식회사 디씨알이,13149,1546747,수용,2025-01-05,3510500,인천광역시 미추홀구
미장지구 도시개발사업,전북특별자치도,군산시,전북특별자치도 군산시 미장안길 45,전북특별자치도 군산시 미장동 484,35.968071,126.7247449,2011-12,2016-12,063-454-3662,현대건설㈜+㈜신성건설,,864285,환지,2025-12-16,4671000,전북특별자치도 군산시
진주 초전신도심(1단계) 도시개발사업,경상남도,진주시,경상남도 진주시 초전북로 129-27,경상남도 진주시 초전동 360-1,35.21121743,128.1201452,2022-12,2025-12,055-749-8935,경남개발공사,0,68100,수용,2025-12-15,5310000,경상남도 진주시
진주 판문지구 도시개발사업,경상남도,진주시,,경상남도 진주시 판문동 241-1번지,35.17197669,128.0426124,2022-12,2026-12,055-749-8873,디아이개발㈜,1278,88412,수용,2025-12-15,5310000,경상남도 진주시
진주 도동지구 도시개발사업,경상남도,진주시,,경상남도 진주시 초전동 549번지,35.20076067,128.1202284,2022-12,2028-12,055-749-8873,진주 도동지구 도시개발사업 조합 조합장 박수복,4042,565505,환지,2025-12-15,5310000,경상남도 진주시
진주 초전남부1지구 도시개발사업,경상남도,진주시,,경상남도 진주시 초전동 382번지,35.19799138,128.1220802,2022-12,2028-12,055-749-8873,초전남부1지구 도시개발사업 조합 조합장 박용주,3001,413819,환지,2025-12-15,5310000,경상남도 진주시
진주 여객자동차터미널,경상남도,진주시,경상남도 진주시 동부로 18-4,경상남도 진주시 가좌동 606-2,35.15932256,128.1096511,2019-12,2025-12,055-749-8946,에스티에스개발㈜,1038,86728,수용,2025-12-15,5310000,경상남도 진주시
용현·학익 2-2블록 인하대역(2구역) 도시개발사업,인천광역시,미추홀구,,"인천광역시 미추홀구 용현동 604-110, 일원",37.4461323784,126.6492244385,2024-04,,000-000-0000,인하대역 도시개발사업조합,1025,30253,환지,2025-01-05,3510500,인천광역시 미추홀구
문학구역 도시개발사업,인천광역시,미추홀구,,"인천광역시 미추홀구 문학동 141-1, 일원",37.4360519894,126.680889,2011-12,,000-000-0000,문학구역 도시개발사업조합,992,81250,환지,2025-01-05,3510500,인천광역시 미추홀구
진안 월랑지구 도시개발사업,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 90-456,35.79589256,127.431406,2026-01,2029-12,063-280-7447,전북개발공사,,99472,,2025-12-12,4731000,전북특별자치도 진안군
역재방죽지구 도시개발사업,충청남도,홍성군,충청남도 홍성군 홍성읍 충절로 953번길 56,충청남도 홍성군 홍성읍 고암리 668,36.59192375,126.669897,2016-12,2018-12,041-630-1854,홍성군수,672,46257,환지,2025-12-09,4600000,충청남도 홍성군
옥암지구 도시개발사업,충청남도,홍성군,충청남도 홍성군 홍성읍 온천1길 일원,충청남도 홍성군 홍성읍 옥암리 1149번지 일원,36.5914965,126.6481409,2013-12,2016-12,041-630-1854,홍성군수,769,236928,환지,2025-12-09,4600000,충청남도 홍성군
홍성역세권 도시개발사업,충청남도,홍성군,충청남도 홍성군 홍성읍 고암리 역전1길,충청남도 홍성군 홍성읍 고암리 445-1번지 일원,36.5991895,126.6788679,2020-12,2024-12,041-630-1854,홍성군수,162,154810.2,환지,2025-12-09,4600000,충청남도 홍성군
홍성 월산지구 도시개발사업,충청남도,홍성군,충청남도 홍성군 홍성읍 월산로 16,충청남도 홍성군 홍성읍 월산리 906번지 일원,36.5986645,126.6517135,2021-12,2025-12,041-630-1854,홍성군수,470,31370.1,수용,2025-12-09,4600000,충청남도 홍성군
성성5구역 도시개발사업,충청남도,천안시 서북구,,충청남도 천안시 서북구 성성동 34-4,36.843163,127.141743,2022-12,2027-12,053-766-8585,신한자산신탁,1126,99505,수용,2026-01-22,4490000,충청남도 천안시
업성구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 성성2길 120 (업성동),충청남도 천안시 서북구 업성동 465-4,36.8499592,127.130896,2022-12,2027-12,070-8632-4187,숲이랑코퍼레이션,1763,146194.7,수용,2026-01-22,4490000,충청남도 천안시
성성8구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 공단로 78-65 (성성동),충청남도 천안시 서북구 성성동 287-3,36.84856994,127.1251507,2023-01,2026-12,041-523-7706,천안 성성8구역 도시개발사업조합,1104,75858.7,환지,2026-01-22,4490000,충청남도 천안시
성성7구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 공단로 89 (성성동),충청남도 천안시 서북구 성성동 366-3,36.8446302,127.1240502,2023-01,2026-12,02-6959-6783,천안성성동피에프브이,554,41544,수용,2026-01-22,4490000,충청남도 천안시
부대2구역 도시개발사업,충청남도,천안시 서북구,충청남도 천안시 서북구 과수원길 14 (부대동),충청남도 천안시 서북구 부대동 416-1,36.84120639,127.145948,2024-12,2026-12,041-552-2017,천안 부대2구역 도시개발사업조합,1558,125727.8,환지,2026-01-22,4490000,충청남도 천안시
청당새텃말구역 도시개발사업,충청남도,천안시 동남구,충청남도 천안시 동남구 청당3길 35 (청당동),충청남도 천안시 동남구 청당동 310-28,36.77557703,127.1476285,2008-12,2028-12,041-902-2241,청암프로젝트+두산건설,1202,89049,수용,2026-01-22,4490000,충청남도 천안시
역삼구역 도시개발사업,경기도,용인시,,경기도 용인시 처인구 역북동 363,37.23986168,127.1835446,2009-08,,031-337-3972,용인 역삼구역 도시개발사업조합,5256,691604,환지,2025-12-05,4050000,경기도 용인시
동천2지구 도시개발사업,경기도,용인시,경기도 용인시 수지구 고기로 87,경기도 용인시 수지구 동천동 143-1,37.34479499,127.092856,2013-10,,031-264-3573,동천2지구 도시개발사업조합,2993,334738,환지,2025-12-05,4050000,경기도 용인시
동천3지구 도시개발사업,경기도,용인시,경기도 용인시 수지구 수풍로 89,경기도 용인시 수지구 동천동 산151-2,37.33305828,127.0906135,2013-08,,031-776-7900,용인 동천3지구 도시개발사업조합,906,60346,환지,2025-12-05,4050000,경기도 용인시
삼가3지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 삼가동 71-2,37.25042909,127.1699489,2022-10,,031-214-7686,용인 삼가3지구 도시개발사업조합,758,49196,환지,2025-12-05,4050000,경기도 용인시
고림2지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 고림동 620,37.25039558,127.221129,2019-01,,031-323-2588,용인 고림2지구 도시개발사업조합,350,35042,환지,2025-12-05,4050000,경기도 용인시
역북2지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 역북동 89-13,37.25150296,127.1941551,2017-01,,031-336-1254,역북지역주택조합,912,56352,수용,2025-12-05,4050000,경기도 용인시
상현4지구 도시개발사업,경기도,용인시,,경기도 용인시 수지구 상현동 414-7,37.30093249,127.0631244,2022-03,,031-548-1319,조욱래외1,0,114410,수용,2025-12-05,4050000,경기도 용인시
모현(왕산)지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 모현읍 왕산리 산25,37.34498461,127.2543226,2010-09,2024-11,031-711-9286,용인 모현왕산 도시개발사업조합,3750,364232,환지,2025-12-05,4050000,경기도 용인시
양지2지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 양지면 양지리 492-3,37.23165173,127.2899764,2023-07,,031-8081-2658,용인 양지2지구 도시개발사업조합,710,52719,환지,2025-12-05,4050000,경기도 용인시
이동(송전) 도시개발사업,경기도,용인시,,경기도 용인시 처인구 이동읍 송전리 965,37.13864497,127.1941058,2008-12,,02-546-0488,용인 이동(송전) 도시개발사업조합,1796,154020,환지,2025-12-05,4050000,경기도 용인시
고림3지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 고림동 817,37.2347214,127.2221311,2023-07,,031-338-2340,가칭)용인 고림3지구 도시개발사업조합,377,28513,환지,2025-12-05,4050000,경기도 용인시
역북4지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 역북동 89-18,37.24836795,127.192006,2024-11,,031-322-0041,용인 역북4지구 도시개발사업조합,944,56567,환지,2025-12-05,4050000,경기도 용인시
송전3지구 도시개발사업,경기도,용인시,,경기도 용인시 처인구 이동읍 송전리 801번지,37.14408197,127.1958794,2024-09,,02-403-8824,송전3지구 도시개발사업 조합,1284,87301,환지,2025-12-05,4050000,경기도 용인시
충주 안림지구 도시개발사업,충청북도,충주시,,충청북도 충주시 안림동 1069번지,36.97211897,127.9489351,2019-02,,043-857-7311,한국토지주택공사,,,환지,2025-11-30,4390000,충청북도 충주시
춘천 학곡지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 동내면 학곡리 860번지,37.841200,127.758700,2010-12,2025-12,000-0000-0000,춘천학곡도시개발 주식회사,2752,3203763,수용,2025-11-17,4181000,강원특별자치도 춘천시
춘천 다원지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 거두리 산159번지,37.851900,127.734700,2022-12,2028-12,000-0000-0000,한국토지주택공사,4861,542457,수용,2025-11-17,4181000,강원특별자치도 춘천시
춘천 온의지구 도시개발사업,강원특별자치도,춘천시,,강원특별자치도 춘천시 온의동 산44-1번지,37.869745,127.732815,2008-12,2021-12,000-0000-0000,디에이치씨개발 주식회사,1485,957258,수용,2025-11-17,4181000,강원특별자치도 춘천시
