# 제2차 고속도로 건설계획 (2021~2025) — 반영 신규사업 37건
#
# 출처: 국토교통부고시 제2022-60호 (2022-02-04)
#       관보 제20181호(별권1권) · 도로법 제6조
#       분류(category)는 계획 본문 부록 '유형별 고속국도 사업계획표'
#       (66~67쪽)에서 왔다 — 고시문에는 없는 칸이다.
# 판독: 관보 스캔본을 눈으로 읽어 옮김 (2026-09-16). 글자층이 없어
#       기계 추출이 안 되는 문서다.
# 검산: 문서가 적어 둔 소계·총계와 우리가 더한 값이 모두 일치한다
#       (신설 770.4km/465,864억 · 확장 349.1km/84,150억).
#       scripts/test_roadplan.py 가 매번 다시 검산한다.
#
# ※ 고시 원문 각주: "모든 사업의 투자규모와 시기, 재원 조달방식(재정,
#   민자) 등은 재정여건에 따라 향후 변동 가능"
#
# 모두 **재정사업**이다 (본문 부록 표 제목이 '[재정] 신규 신설/확장사업
# 계획'). 민자사업은 이 표에 없다.
#
# category 는 본문 부록에만 있는 칸이다 — 그 사업이 어느 추진과제를
# 위한 것인가: ①균형 ②혼잡 ③물류 ④미래(남북협력 대비).
# 확장 18건은 전부 ②혼잡이다.
#
# lanes 는 확장사업만 있다(왕복 차로수). 신설은 빈칸.
# from_pt/to_pt 는 사업명을 '-' 로 가른 것이다 — 지도에 찍을 두 끝.
kind	tier	region	axis	line	name	from_pt	to_pt	km	lanes	cost_eok	category
신설	중점	전국권	남북8축		김해-밀양	김해	밀양	18.8		10241	③물류
신설	중점	전국권	남북6축		영동-진천	영동	진천	75.2		38231	①균형
신설	중점	전국권	동서6축		영월-삼척	영월	삼척	91.0		49096	①균형
신설	중점	전국권	동서3축		성주-대구	성주	대구	18.3		7916	①균형
신설	중점	전국권	남북2축		완도-강진	완도	강진	37.5		17313	①균형
신설	중점	수도권(지하도로)	순환1축		퇴계원-판교	퇴계원	판교	31.5		40486	②혼잡
신설	중점	수도권(지하도로)	남북3축		화성-서울(경부선 포함)	화성	서울	32.3		32051	②혼잡
신설	중점	수도권(지하도로)	동서9축		인천-서울(경인선 포함)	인천	서울	19.3		20041	②혼잡
신설	일반	전국권	남북5축		서울-연천	서울	연천	50.7		28051	④미래
신설	일반	전국권	남북5축		거제-통영	거제	통영	30.5		18811	③물류
신설	일반	전국권	남북4축		포천-철원	포천	철원	40.4		19433	④미래
신설	일반	전국권	동서5축		오창-괴산	오창	괴산	51.8		26540	③물류
신설	일반	전국권	남북10축		속초-고성	속초	고성	43.5		20711	④미래
신설	일반	전국권	동서4축		구미-군위	구미	군위	24.9		15468	③물류
신설	일반	전국권	동서3축		무주-성주	무주	성주	68.4		34144	①균형
신설	일반	전국권	남북8축		춘천-철원	춘천	철원	63.2		32608	④미래
신설	일반	전국권	동서3축		기계-신항만	기계	신항만	22.8		12379	③물류
신설	일반	전국권	순환6축		금천-화순	금천	화순	18.6		10521	②혼잡
신설	일반	수도권(지하도로)	남북3축		신갈-과천	신갈	과천	31.7		31823	②혼잡
확장	중점		남북5축	경부선	청성-동이	청성	동이	12.3	4	1015	②혼잡
확장	중점		남북2축	서해안선	서평택JCT-안산JCT	서평택JCT	안산JCT	34.0	6~8	9805	②혼잡
확장	중점		남북7축	중부내륙선	김천JCT-낙동JCT	김천JCT	낙동JCT	24.0	4	4770	②혼잡
확장	중점		남북8축	중앙선	김해공항IC-대동JCT	김해공항IC	대동JCT	8.7	4~6	3719	②혼잡
확장	중점		동서1축	남해선	창원JCT-진영JCT	창원JCT	진영JCT	4.6	8	654	②혼잡
확장	일반		남북4축	호남선지선	서대전JCT-회덕JCT	서대전JCT	회덕JCT	18.6	4	5412	②혼잡
확장	일반		남북5축	경부선	회덕JCT-청주JCT	회덕JCT	청주JCT	18.9	8	4229	②혼잡
확장	일반		남북9축	중앙선지선	대동JCT-양산JCT	대동JCT	양산JCT	7.3	4~6	2726	②혼잡
확장	일반		남북3축	경부선	천안JCT-안성JCT	천안JCT	안성JCT	29.8	8	6743	②혼잡
확장	일반		남북7축	중부내륙선	충주JCT-여주JCT	충주JCT	여주JCT	25.9	4	4428	②혼잡
확장	일반		동서6축	평택제천선	서안성IC-대소JCT	서안성IC	대소JCT	32.0	4	8116	②혼잡
확장	일반		동서8축	제2경인선	문학IC-석수IC	문학IC	석수IC	20.1	6	6270	②혼잡
확장	일반		남북5축	중부선	증평IC-대소JCT	증평IC	대소JCT	19.6	4	3841	②혼잡
확장	일반		남북3축	경부선	안성JCT-동탄JCT	안성JCT	동탄JCT	18.3	8	4999	②혼잡
확장	일반		남북5축	중부선	대소JCT-호법JCT	대소JCT	호법JCT	35.8	4	7414	②혼잡
확장	일반		동서6축	평택제천선	서평택JCT-평택JCT	서평택JCT	평택JCT	7.6	6	2057	②혼잡
확장	일반		남북8축	중앙선	읍내JCT-군위JCT	읍내JCT	군위JCT	24.3	4	6092	②혼잡
확장	일반		남북5축	중부선	남이JCT-서청주IC	남이JCT	서청주IC	7.3	4	1860	②혼잡
